"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Dzagnidze, Nana","GM","WGM","","GEO","2550","2575","2587","1987","F",""
"Dzhakaev, Dzhakay","GM","","","RUS","2494","2470","","1980","M","i"
"Dzhumaev, Marat","GM","","","UZB","2553","2491","2481","1976","M",""
"Dzindzichashvili, Roman","GM","","","USA","2550","","","1944","M","i"
"Dziuba, Marcin","GM","","","POL","2589","2600","2603","1983","M",""
"Edouard, Romain","GM","","","FRA","2666","2656","2664","1990","M",""
"Efimenko, Zahar","GM","","","UKR","2651","2677","2714","1985","M",""
"Efimov, Igor","GM","","","MNC","2401","2416","2449","1960","M",""
"Ehlvest, Jaan","GM","","","USA","2621","2620","2565","1962","M",""
"Eingorn, Vereslav S","GM","","FST","UKR","2548","","","1956","M",""
"El Debs, Felipe de Cresce","GM","","","BRA","2525","2526","","1985","M",""
"El Gindy, Essam","GM","","","EGY","2490","","","1966","M",""
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
