"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Maiwald, Jens-Uwe","GM","","","GER","2468","","","1974","M",""
"Makarichev, Sergey","GM","","","RUS","2520","","","1953","M","i"
"Makarov, Marat","GM","","","RUS","2512","2502","","1963","M",""
"Maksimenko, Andrei","GM","","FT","UKR","2543","2537","","1969","M",""
"Malakhatko, Vadim","GM","","","BEL","2559","2553","","1977","M",""
"Malakhov, Vladimir","GM","","","RUS","2710","2745","2725","1980","M",""
"Malaniuk, Vladimir P","GM","","","UKR","2529","2545","2561","1957","M",""
"Maletin, Pavel","GM","","","RUS","2611","2664","2650","1986","M",""
"Malich, Burkhard, Dr.","GM","","","GER","2347","","","1936","M",""
"Malinin, Vasily B.","GM","","","RUS","2280","","2213","1956","M","i"
"Malisauskas, Vidmantas","GM","","","LTU","2450","2507","2448","1963","M",""
"Mamedov, Nidjat","GM","","","AZE","2602","","","1985","M",""
"Mamedov, Rauf","GM","","","AZE","2637","2712","2718","1988","M",""
"Mamedyarov, Shakhriyar","GM","","","AZE","2753","2726","2777","1985","M",""
"Manik, Mikulas","GM","","","SVK","2413","2391","2392","1975","M",""
"Manolache, Marius","GM","","","ROU","2504","","","1973","M",""
"Manor, Ilan","GM","","","ISR","2481","","","1969","M",""
"Marcelin, Cyril","GM","","","FRA","2488","","","1979","M","i"
"Marciano, David","GM","","","FRA","2498","","","1969","M",""
"Mareco, Sandro","GM","","","ARG","2557","2587","2572","1987","M",""
"Margvelashvili, Giorgi","GM","","","GEO","2555","","","1990","M",""
"Mariano, Nelson","GM","","","PHI","","","","1974","M","i"
"Marin, Mihail","GM","","","ROU","2549","2541","","1965","M",""
"Mariotti, Sergio","GM","","","ITA","2295","2288","","1946","M",""
"Marjanovic, Slavoljub","GM","","FST","SRB","2464","","","1955","M",""
"Markos, Jan","GM","","","SVK","2580","","","1985","M",""
"Markosian, David S.","GM","","","ARM","2399","","","1972","M","i"
"Markovic, Miroslav","GM","","","SRB","2496","2495","","1973","M",""
"Markowski, Tomasz","GM","","","POL","2573","2550","2559","1975","M",""
"Markus, Robert","GM","","","SRB","2611","","","1983","M",""
"Marovic, Drazen","GM","","","CRO","2445","","","1938","M","i"
"Martinez Duany, Lelys Stanley","GM","","","CUB","2459","","2501","1985","M",""
"Martinovic, Sasa","GM","","","CRO","2527","","2544","1991","M",""
"Martinovic, Slobodan","GM","","","SRB","2417","","","1945","M",""
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
