"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Larino Nieto, David","GM","","","ESP","2501","","2533","1989","M",""
"Lastin, Alexander","GM","","","RUS","2514","2546","","1976","M",""
"Lau, Ralf","GM","","","GER","2442","","","1959","M","i"
"Lautier, Joel","GM","","","FRA","2658","","","1973","M","i"
"Laxman, R.R.","GM","","","IND","2397","2493","2504","1983","M",""
"Laylo, Darwin","GM","","","PHI","","2524","2496","1980","M",""
"Lazarev, Vladimir","GM","","","FRA","2410","","","1964","M",""
"Lazic, Miroljub","GM","","","SRB","2467","2518","2450","1966","M",""
"Laznicka, Viktor","GM","","","CZE","2684","","2704","1988","M",""
"Le Roux, Jean-Pierre","GM","","","FRA","2576","2569","2538","1982","M",""
"Le, Quang Liem","GM","","","VIE","2712","2681","2771","1991","M",""
"Lechtynsky, Jiri","GM","","","CZE","2361","","","1947","M",""
"Legky, Nikolay A","GM","","","FRA","2396","","","1955","M",""
"Lein, Anatoly","GM","","","USA","2240","","","1931","M",""
"Leitao, Rafael","GM","","","BRA","2632","2631","","1979","M",""
"Leko, Peter","GM","","","HUN","2737","2732","2722","1979","M",""
"Lemos, Damian","GM","","","ARG","2536","","","1990","M",""
"Lenderman, Aleksandr","GM","","","USA","2567","2638","2573","1989","M",""
"Lengyel, Levente","GM","","","HUN","2293","","","1933","M","i"
"Lenic, Luka","GM","","","SLO","2630","","","1988","M",""
"Leon Hoyos, Manuel","GM","","","MEX","2568","","","1989","M",""
"Lesiege, Alexandre","GM","","","CAN","2528","","","1975","M","i"
"Lev, Ronen","GM","","","ISR","2367","","","1968","M",""
"Leventic, Ivan","GM","","","CRO","2448","2445","","1970","M",""
"Levin, Evgeny A.","GM","","","RUS","2512","2530","2600","1990","M",""
"Levin, Felix","GM","","","GER","2497","","","1958","M",""
"Levitt, Jonathan P","GM","","","ENG","2420","","","1963","M","i"
"Li, Chao b","GM","","","CHN","2693","2602","2651","1989","M",""
"Li, Shilong","GM","","","CHN","2542","2531","2549","1977","M",""
"Liang, Chong","GM","","","CHN","2489","","","1980","M","i"
"Liang, Jinrong","GM","","","CHN","2454","2476","","1960","M","i"
"Libiszewski, Fabien","GM","","","FRA","2520","","","1984","M",""
"Lie, Kjetil A.","GM","","","NOR","2532","","","1980","M","i"
"Likavsky, Tomas","GM","","FT","SVK","2458","","","1971","M",""
"Lima, Darcy","GM","","FT,IO","BRA","2527","","","1962","M",""
"Lintchevski, Daniil","GM","","","RUS","2526","2601","2571","1990","M",""
"Liss, Eran","GM","","","ISR","2456","","","1975","M",""
"Ljubojevic, Ljubomir","GM","","","SRB","2571","","","1950","M","i"
"Llanes Hurtado, Miguel","GM","","","ESP","2469","","","1978","M",""
"Lobron, Eric","GM","","","GER","2516","","","1960","M","i"
"Loginov, Valery A","GM","","","RUS","2486","","","1955","M","i"
"Lombardy, William J","GM","","","USA","2435","","","1937","M","i"
"Lopez Martinez, Josep Manuel","GM","","","ESP","2547","","","1980","M",""
"Lopushnoy, Denis","GM","","","RUS","2469","","","1977","M","i"
"Lputian, Smbat G","GM","","FST","ARM","2574","","","1958","M","i"
"Lu, Shanglei","GM","","","CHN","2551","2536","2668","1995","M",""
"Lugovoi, Aleksei","GM","","","RUS","2531","","","1975","M","i"
"Lukacs, Peter","GM","","","HUN","2404","","","1950","M","i"
"Lukov, Valentin","GM","","","BUL","2419","","","1955","M",""
"Lunev, Andrey","GM","","","RUS","2418","","","1969","M","i"
"Lupu, Mircea-Sergiu","GM","","","FRA","2428","","","1962","M",""
"Lupulescu, Constantin","GM","","","ROU","2655","2618","","1984","M",""
"Luther, Thomas","GM","","","GER","2552","2502","","1969","M",""
"Lutsko, Igor","GM","","","BLR","2366","","2290","1962","M",""
"Lutz, Christopher","GM","","","GER","2558","","","1971","M",""
"Lysyj, Igor","GM","","","RUS","2656","2663","2593","1987","M",""
"Ma, Qun","GM","","","CHN","2559","2492","2531","1991","M",""
"Machulsky, Anatoly D","GM","","","RUS","2505","","","1956","M","i"
"Macieja, Bartlomiej","GM","","","POL","2583","","2577","1977","M",""
"Magem Badals, Jordi","GM","","FST","ESP","2551","","","1967","M",""
"Magerramov, Elmar","GM","","","AZE","2515","2511","2433","1958","M","i"
"Magomedov, Magaram","GM","","","RUS","2503","2479","","1966","M","i"
"Mahjoob, Morteza","GM","","FT","IRI","2414","","2428","1980","M",""
"Mainka, Romuald","GM","","","GER","2425","","","1963","M",""
"Maiorov, Nikita","GM","","","BLR","2529","2539","2525","1985","M",""
"Maiorov, Oleg","GM","","","RUS","2359","2357","","1971","M",""
