"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Barcenilla, Rogelio","GM","","","PHI","","","","1972","M",""
"Barczay, Laszlo","GM","","","HUN","2381","","","1936","M","i"
"Bareev, Evgeny","GM","","FST","RUS","2663","2664","2678","1966","M","i"
"Barlov, Dragan","GM","","","SRB","2449","","","1957","M",""
"Baron, Tal","GM","","","ISR","2467","2455","","1992","M",""
"Barrientos, Sergio E","GM","","FT","COL","2462","2444","2428","1986","M",""
"Barsov, Alexei","GM","","","UZB","2530","2547","2500","1966","M",""
"Bartel, Mateusz","GM","","","POL","2619","2619","2614","1985","M",""
"Barua, Dibyendu","GM","","","IND","2431","","","1966","M",""
"Barus, Cerdas","GM","","","INA","2396","","","1962","M",""
"Baryshpolets, Andrey","GM","","","UKR","2547","2479","2541","1991","M",""
"Batchuluun, Tsegmed","GM","","","MGL","2517","","2472","1987","M",""
"Batyrov, Sapar","GM","","","TKM","2409","","","1967","M","i"
"Bauer, Christian","GM","","","FRA","2637","2631","2670","1977","M",""
"Becerra Rivero, Julio","GM","","","USA","2547","","","1973","M",""
"Bedia, Melor","GM","","","RUS","2477","","","1979","M",""
"Beim, Valeri","GM","","","AUT","2502","","","1950","M","i"
"Beliavsky, Alexander G","GM","","FST","SLO","2651","","","1953","M",""
"Belikov, Vladimir","GM","","","RUS","2477","2469","","1971","M",""
"Belkhodja, Slim","GM","","","TUN","2432","2437","","1962","M",""
"Bellon Lopez, Juan Manuel","GM","","","ESP","2377","","","1950","M",""
"Belous, Vladimir","GM","","","RUS","2551","2495","2632","1993","M",""
"Belov, Vladimir","GM","","","RUS","2641","2575","2614","1984","M","i"
"Belozerov, Andrei","GM","","","RUS","2511","2576","2552","1977","M",""
"Benjamin, Joel","GM","","","USA","2547","","","1964","M",""
"Benko, Pal C","GM","","","USA","2408","","","1928","M","i"
"Berczes, David","GM","","","HUN","2541","","2519","1990","M",""
"Berdichevski, Igor","GM","","FT","RUS","2555","","","1964","M","i"
"Berelowitsch, Alexander","GM","","","GER","2548","","","1967","M",""
"Berescu, Alin-Mile","GM","","","ROU","2461","","","1980","M",""
"Berg, Emanuel","GM","","","SWE","2549","","","1981","M",""
"Berkes, Ferenc","GM","","","HUN","2687","","","1985","M",""
"Bernasek, Jan","GM","","","CZE","2550","2535","2480","1986","M",""
"Beshukov, Sergei","GM","","","RUS","2449","","","1971","M","i"
"Bezgodov, Alexei","GM","","","RUS","2482","","2472","1969","M",""
"Bezold, Michael","GM","","","GER","2524","","","1972","M",""
"Bhat, Vinay S.","GM","","","USA","2511","","","1984","M","i"
"Bindrich, Falko","GM","","","GER","2558","","","1990","M",""
"Bischoff, Klaus","GM","","","GER","2500","","2477","1961","M",""
"Bisguier, Arthur B","GM","","","USA","2181","","","1929","M",""
"Bistric, Faruk","GM","","","BIH","2363","","","1958","M","i"
"Bitoon, Richard","GM","","","PHI","","2473","2384","1975","M",""
"Biyiasas, Peter","GM","","","USA","2450","","","1950","M","i"
"Blagojevic, Dragisa","GM","","","MNE","2524","2508","","1966","M",""
"Blatny, Pavel","GM","","","CZE","2414","","2417","1968","M",""
