"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Blehm, Pawel","GM","","","POL","2505","","","1980","M","i"
"Bluvshtein, Mark","GM","","","CAN","2590","","","1988","M","i"
"Bobras, Piotr","GM","","","POL","2532","","","1977","M",""
"Bocharov, Dmitry","GM","","","RUS","2617","2597","2577","1982","M",""
"Boensch, Uwe","GM","","FST","GER","2528","","","1958","M",""
"Bogdanovski, Vlatko","GM","","","MKD","2435","2425","2433","1964","M",""
"Bogner, Sebastian","GM","","","GER","2548","","","1991","M",""
"Bogosavljevic, Boban","GM","","","SRB","2548","","","1988","M",""
"Bojkov, Dejan","GM","","FST","BUL","2505","","","1977","M",""
"Bologan, Viktor","GM","","FST","MDA","2672","2663","2650","1971","M",""
"Borges Matos, Juan","GM","","","CUB","2433","","2492","1966","M",""
"Borisek, Jure","GM","","","SLO","2552","","","1986","M",""
"Boros, Denes","GM","","","HUN","2498","","","1988","M",""
"Borovikov, Vladislav","GM","","","UKR","2564","","","1973","M",""
"Bosiocic, Marin","GM","","","CRO","2556","","2613","1988","M",""
"Bouaziz, Slim","GM","","FT","TUN","2338","","","1950","M","i"
"Brandenburg, Daan","GM","","","NED","2534","","","1987","M","i"
"Braun, Arik","GM","","","GER","2570","","","1988","M",""
"Brenjo, Slavisa","GM","","","SRB","2499","","","1974","M",""
"Bricard, Emmanuel","GM","","","FRA","2458","","","1966","M",""
"Brkic, Ante","GM","","","CRO","2584","","2509","1988","M",""
"Brodsky, Michail","GM","","FST","UKR","2568","2544","","1969","M",""
"Browne, Walter S.","GM","","","USA","2454","","","1949","M",""
"Brunello, Sabino","GM","","","ITA","2598","2631","2640","1989","M",""
"Brunner, Lucas","GM","","","SUI","2449","","","1967","M",""
"Bruzon Batista, Lazaro","GM","","","CUB","2687","","2755","1982","M",""
"Brynell, Stellan","GM","","","SWE","2484","","","1962","M",""
"Bryzgalin, Kirill","GM","","","RUS","2470","2562","2501","1982","M",""
"Bu, Xiangzhi","GM","","","CHN","2662","2661","2634","1985","M",""
"Buhmann, Rainer","GM","","","GER","2582","2598","","1981","M",""
"Bui, Vinh","GM","","FT","VIE","2411","","","1976","M",""
"Bukavshin, Ivan","GM","","","RUS","2517","2609","2671","1995","M",""
"Bukic, Enver","GM","","","SLO","2383","","","1937","M","i"
"Bulski, Krzysztof","GM","","","POL","2534","2526","2469","1987","M",""
"Bunzmann, Dimitrij","GM","","","GER","2464","","","1982","M",""
"Burmakin, Vladimir","GM","","","RUS","2575","2551","","1967","M",""
"Butnorius, Algimantas","GM","","","LTU","2369","2340","","1946","M",""
"Bykhovsky, Anatoly","GM","","","ISR","2519","","2497","1988","M",""
"Bykhovsky, Avigdor","GM","","","RUS","2433","2475","2401","1955","M",""
"Byrne, Robert E","GM","","","USA","2434","","","1928","M","i"
"Cabrera, Alexis","GM","","","ESP","2525","","","1976","M",""
"Cabrilo, Goran","GM","","","SRB","2404","2440","2509","1958","M",""
"Campora, Daniel H.","GM","","","ARG","2474","","","1957","M",""
"Campos Moreno, Javier B.","GM","","","CHI","2482","","","1959","M",""
"Can, Emre","GM","","","TUR","2475","","2423","1990","M",""
"Cao, Sang","GM","","","VIE","2477","","2528","1973","M",""
"Carlsen, Magnus","GM","","","NOR","2864","2845","2856","1990","M",""
"Carlsson, Pontus","GM","","","SWE","2516","","2511","1982","M",""
"Caruana, Fabiano","GM","","","ITA","2774","","2718","1992","M",""
"Castaneda, Georgui","GM","","","PER","2500","2516","2528","1976","M",""
"Cebalo, Miso","GM","","FST","CRO","2438","2442","2430","1945","M",""
"Chabanon, Jean-Luc","GM","","","FRA","2468","","2448","1971","M",""
"Chadaev, Nikolai","GM","","","RUS","2591","2621","2733","1988","M",""
"Chandler, Murray G","GM","","","NZL","2518","","","1960","M","i"
"Charbonneau, Pascal","GM","","","CAN","2505","","","1983","M",""
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
