"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Miroshnichenko, Evgenij","GM","","","UKR","2620","2598","2597","1978","M",""
"Mirumian, Vigen","GM","","","CZE","2498","","2473","1977","M",""
"Mirzoev, Azer","GM","","","AZE","2536","","2532","1978","M",""
"Mista, Aleksander","GM","","FT","POL","2579","2573","2508","1983","M",""
"Mitkov, Nikola","GM","","","MKD","2484","","","1971","M",""
"Miton, Kamil","GM","","","POL","2612","2614","2578","1984","M",""
"Mogranzini, Roberto","GM","","","ITA","2513","2505","2517","1983","M",""
"Mohr, Georg","GM","","FST,IO","SLO","2495","","2521","1965","M",""
"Mohr, Stefan","GM","","","GER","2413","","","1967","M","i"
"Moiseenko, Alexander","GM","","","UKR","2711","2714","2690","1980","M",""
"Mokry, Karel","GM","","","CZE","2420","","","1959","M","i"
"Moradiabadi, Elshan","GM","","FT","IRI","2557","","2566","1985","M",""
"Moranda, Wojciech","GM","","","POL","2570","2599","2581","1988","M",""
"Moreno Carnero, Javier","GM","","FST","ESP","2519","","","1975","M","i"
"Morovic Fernandez, Ivan","GM","","","CHI","2568","","2499","1963","M",""
"Morozevich, Alexander","GM","","","RUS","2760","2742","2756","1977","M",""
"Moskalenko, Viktor","GM","","FST","ESP","2536","","","1960","M",""
"Motwani, Paul","GM","","","SCO","2499","","","1962","M",""
"Motylev, Alexander","GM","","FST","RUS","2655","2651","2630","1979","M",""
"Movsesian, Sergei","GM","","","ARM","2699","2680","2696","1978","M",""
"Movsziszian, Karen","GM","","","ARM","2499","","","1963","M",""
"Mrva, Martin","GM","","","SVK","2427","","","1971","M",""
"Mueller, Karsten, Dr.","GM","","","GER","2528","","","1970","M",""
"Munoz Pantoja, Miguel","GM","","","ESP","2459","","2488","1975","M",""
"Murariu, Andrei","GM","","","ROU","2531","2512","2487","1986","M",""
"Muratovic, Alija","GM","","","SRB","2505","","","1962","M","i"
"Murey, Jacob","GM","","","ISR","2429","","","1941","M","i"
"Murshed, Niaz","GM","","","BAN","2479","2482","","1966","M",""
"Muse, Mladen","GM","","","CRO","2434","","","1963","M",""
"Muzychuk, Anna","GM","WGM","","SLO","2593","2566","2639","1990","F",""
"Nabaty, Tamir","GM","","","ISR","2579","2562","2508","1991","M",""
"Nadyrhanov, Sergey","GM","","","RUS","2459","","","1963","M","i"
"Naiditsch, Arkadij","GM","","","GER","2710","2702","2609","1985","M",""
"Najdoski, Toni","GM","","","MKD","2598","","","1970","M","i"
"Najer, Evgeniy","GM","","","RUS","2633","2638","","1977","M",""
"Nakamura, Hikaru","GM","","","USA","2784","2795","2844","1987","M",""
"Nalbandian, Tigran","GM","","","ARM","2434","","","1975","M","i"
"Nanu, Costica-Ciprian","GM","","","ROU","2519","2518","2531","1977","M",""
"Narciso Dublan, Marc","GM","","","ESP","2536","","","1974","M",""
"Nataf, Igor-Alexandre","GM","","","FRA","2548","","","1978","M","i"
"Naumann, Alexander","GM","","","GER","2540","","","1979","M",""
"Naumkin, Igor","GM","","","RUS","2457","2484","2516","1965","M",""
"Navara, David","GM","","","CZE","2707","2678","2690","1985","M",""
"Nedev, Trajko","GM","","","MKD","2497","2515","2450","1973","M",""
"Neelotpal, Das","GM","","","IND","2461","","","1982","M",""
"Negi, Parimarjan","GM","","","IND","2634","2648","2578","1993","M",""
"Neiksans, Arturs","GM","","FT","LAT","2549","2561","2565","1983","M",""
"Nepomniachtchi, Ian","GM","","","RUS","2717","2762","2813","1990","M",""
"Nesterov, Yakov","GM","","","KAZ","2448","","","1966","M",""
"Neuman, Petr","GM","","","CZE","2522","2477","2488","1978","M",""
"Nevednichy, Vladislav","GM","","","ROU","2580","2586","","1969","M",""
"Neverov, Valeriy","GM","","","UKR","2515","2430","2393","1964","M",""
"Nevostrujev, Vladimir","GM","","","RUS","2440","2462","","1966","M",""
"Nguyen, Anh Dung","GM","","FT","VIE","2468","","2447","1976","M",""
"Nguyen, Ngoc Truong Son","GM","","","VIE","2625","","2665","1990","M",""
"Ni, Hua","GM","","","CHN","2646","2660","2572","1983","M",""
"Nielsen, Peter Heine","GM","","","DEN","2658","","","1973","M",""
"Nijboer, Friso","GM","","","NED","2530","","","1965","M",""
"Nikcevic, Nebojsa","GM","","","MNE","2458","2399","2383","1965","M",""
"Nikitin, Andrey","GM","","","RUS","2462","2431","","1974","M","i"
"Nikolac, Juraj","GM","","","CRO","2428","","","1932","M",""
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
