"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Maslak, Konstantin","GM","","","RUS","2566","2513","2573","1984","M","i"
"Mastrovasilis, Athanasios","GM","","","GRE","2523","","","1979","M",""
"Mastrovasilis, Dimitrios","GM","","","GRE","2606","","","1983","M",""
"Matamoros Franco, Carlos S.","GM","","","ECU","","2555","","1966","M",""
"Matanovic, Aleksandar","GM","","","SRB","2490","","","1930","M","i"
"Mateo, Ramon","GM","","","DOM","2413","","2411","1958","M",""
"Matjushin, Gennady","GM","","","UKR","2448","2505","2465","1984","M",""
"Matlakov, Maxim","GM","","","RUS","2665","2675","2676","1991","M",""
"Matsuura, Everaldo","GM","","","BRA","2481","","2460","1970","M",""
"Matulovic, Milan","GM","","","SRB","2394","","","1935","M","i"
"Maximov, Dmitry","GM","","","UKR","2482","2477","","1984","M",""
"Maze, Sebastien","GM","","","FRA","2542","","2550","1984","M",""
"McDonald, Neil","GM","","","ENG","2419","","","1967","M",""
"Mchedlishvili, Mikheil","GM","","","GEO","2637","2641","2644","1979","M",""
"McNab, Colin A","GM","","","SCO","2461","","2438","1961","M",""
"McShane, Luke J","GM","","","ENG","2697","","2702","1984","M",""
"Mecking, Henrique","GM","","","BRA","2606","","","1952","M",""
"Meduna, Eduard","GM","","","CZE","2397","","2467","1950","M",""
"Medvegy, Zoltan","GM","","","HUN","2552","","","1979","M",""
"Megaranto, Susanto","GM","","","INA","2524","2533","2542","1987","M",""
"Meier, Georg","GM","","","GER","2633","2675","2664","1987","M",""
"Meijers, Viesturs","GM","","","LAT","2470","","","1967","M",""
"Meister, Jakob","GM","","","GER","2517","","","1955","M",""
"Mekhitarian, Krikor Sevag","GM","","","BRA","2544","","","1986","M",""
"Melkumyan, Hrant","GM","","","ARM","2635","2675","2687","1989","M",""
"Mestel, A Jonathan","GM","","","ENG","2471","","","1957","M","i"
"Michalik, Peter","GM","","","SVK","2565","2501","","1990","M",""
"Miezis, Normunds","GM","","","LAT","2548","2514","2533","1971","M",""
"Mikhalchishin, Adrian","GM","","FST","SLO","2515","","","1954","M",""
"Mikhaletz, Lubomir","GM","","","UKR","2428","2429","2412","1974","M","i"
"Mikhalevski, Victor","GM","","","ISR","2551","2593","2492","1972","M",""
"Miladinovic, Igor","GM","","","SRB","2556","","2553","1974","M",""
"Milanovic, Danilo","GM","","","SRB","2476","2520","","1974","M",""
"Milos, Gilberto","GM","","","BRA","2583","","","1963","M",""
"Milov, Leonid","GM","","","GER","2540","","","1966","M",""
"Milov, Vadim","GM","","","SUI","2643","2664","","1972","M",""
"Minasian, Ara","GM","","","ARM","2432","","","1974","M","i"
"Minasian, Artashes","GM","","","ARM","2505","","2556","1967","M","i"
"Miralles, Gilles","GM","","","FRA","2472","","2478","1966","M",""
