"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Popchev, Milko","GM","","","BUL","2433","","","1964","M",""
"Popilski, Gil","GM","","","ISR","2515","","","1993","M",""
"Popov, Ivan","GM","","","RUS","2632","2639","2650","1990","M",""
"Popov, Valerij","GM","","","RUS","2548","2572","2550","1974","M",""
"Popovic, Dusan","GM","","","SRB","2562","","","1983","M",""
"Popovic, Petar","GM","","","SRB","2458","","","1959","M",""
"Portisch, Lajos","GM","","","HUN","2479","2436","","1937","M",""
"Postny, Evgeny","GM","","","ISR","2645","2636","2592","1981","M",""
"Potapov, Alexander","GM","","","RUS","2389","2386","","1969","M",""
"Potkin, Vladimir","GM","","","RUS","2647","2663","2654","1982","M",""
"Pozo Vera, Sandro","GM","","","CUB","2468","","2482","1987","M",""
"Predojevic, Borki","GM","","","BIH","2616","","","1987","M",""
"Pridorozhni, Aleksei","GM","","","RUS","2512","2561","2560","1981","M",""
"Prie, Eric","GM","","","FRA","2493","","","1962","M",""
"Prohaszka, Peter","GM","","","HUN","2554","","","1992","M",""
"Prokopchuk, Evgeny","GM","","","RUS","2523","","","1978","M","i"
"Pruijssers, Roeland","GM","","","NED","2549","","2455","1989","M",""
"Prusikin, Michael","GM","","FT","GER","2555","","","1978","M",""
"Psakhis, Lev","GM","","FST","ISR","2524","","","1958","M","i"
"Pushkov, Nikolai","GM","","IA","RUS","2396","2332","2406","1946","M",""
"Quesada Perez, Yuniesky","GM","","","CUB","2631","","2635","1984","M",""
"Quinteros, Miguel A.","GM","","","ARG","2422","","","1947","M","i"
"Rabiega, Robert","GM","","","GER","2502","","","1971","M",""
"Radjabov, Teimour","GM","","","AZE","2733","2760","2755","1987","M",""
"Radulov, Ivan","GM","","","BUL","2304","2353","","1939","M",""
"Raetsky, Alexander","GM","","IA,FT,IO","RUS","2412","","2379","1961","M",""
"Ragger, Markus","GM","","","AUT","2672","2682","2624","1988","M",""
"Rahman, Ziaur","GM","","","BAN","2498","2542","","1974","M",""
"Raicevic, Vladimir","GM","","","SRB","2381","","","1949","M","i"
"Rajkovic, Dusan","GM","","","SRB","2386","2426","","1942","M",""
"Rakhmanov, Aleksandr","GM","","","RUS","2602","2564","2583","1989","M",""
"Ramesh, R.B.","GM","","","IND","2472","","","1976","M","i"
"Ramirez, Alejandro","GM","","","USA","2574","2562","2633","1988","M",""
"Rantanen, Yrjo A.","GM","","","FIN","2332","","2288","1950","M",""
"Rapport, Richard","GM","","","HUN","2674","2642","2598","1996","M",""
"Rashkovsky, Nukhim N","GM","","FST","RUS","2515","2525","","1946","M","i"
"Rasmussen, Allan Stig","GM","","","DEN","2502","","","1983","M",""
"Rasulov, Vugar","GM","","","AZE","2483","","2457","1991","M",""
"Rausis, Igors","GM","","","CZE","2532","2441","2511","1961","M",""
"Rechlis, Gad","GM","","","ISR","2483","","","1967","M",""
"Ree, Hans","GM","","","NED","2344","","","1944","M",""
"Reefat, Bin-Sattar","GM","","","BAN","2443","2448","","1974","M",""
"Reinderman, Dimitri","GM","","","NED","2575","","","1972","M",""
"Relange, Eloi","GM","","","FRA","2470","","","1976","M","i"
"Renet, Olivier","GM","","","FRA","2469","","","1964","M",""
"Riazantsev, Alexander","GM","","FST","RUS","2708","2616","2606","1985","M",""
"Ribli, Zoltan","GM","","IA,FST","HUN","2583","","","1951","M",""
"Ricardi, Pablo","GM","","","ARG","2459","","","1962","M",""
"Ristic, Nenad","GM","","FT","SRB","2437","2370","","1958","M",""
"Rivas Pastor, Manuel","GM","","","ESP","2557","","","1960","M","i"
"Rizouk, Aimen","GM","","","ALG","2527","","","1979","M",""
"Robson, Ray","GM","","","USA","2619","","2627","1994","M",""
"Rodriguez Cepedes, Amador","GM","","","ESP","2424","","","1956","M",""
"Rodriguez Guerrero, Enrique","GM","","","ESP","2436","2431","","1983","M",""
"Rodriguez Vargas, Orestes","GM","","","ESP","2365","","","1943","M",""
"Rodriguez Vila, Andres","GM","","","URU","2467","2465","","1973","M",""
"Rodshtein, Maxim","GM","","","ISR","2641","2616","2584","1989","M",""
"Rogers, Ian","GM","","","AUS","2545","","","1960","M","i"
"Rogic, Davor","GM","","","CRO","2563","","2589","1971","M",""
"Rogoff, Kenneth S","GM","","","USA","2505","","","1953","M","i"
"Rogovski, Vladimir","GM","","","UKR","2461","","","1965","M","i"
"Rogozenco, Dorian","GM","","FT","ROU","2515","","2409","1973","M",""
"Rohde, Michael A","GM","","","USA","2468","","","1959","M",""
"Roiz, Michael","GM","","","ISR","2614","2626","2655","1983","M",""
"Romanenko, Vladimir","GM","","","BLR","2494","","","1985","M",""
"Romanishin, Oleg M","GM","","","UKR","2503","","","1952","M",""
"Romanov, Evgeny","GM","","","RUS","2662","2567","2657","1988","M",""
"Romero Holmes, Alfonso","GM","","","ESP","2522","2479","","1965","M",""
"Rotstein, Arkadij","GM","","","GER","2498","","","1961","M",""
"Roussel-Roozmon, Thomas","GM","","","CAN","2476","","","1988","M","i"
"Rowson, Jonathan","GM","","","SCO","2574","","","1977","M",""
"Rozentalis, Eduardas","GM","","","LTU","2616","2602","","1963","M",""
"Ruban, Vadim","GM","","","RUS","2545","","","1964","M","i"
"Rublevsky, Sergei","GM","","FST","RUS","2695","2731","2637","1974","M",""
"Ruck, Robert","GM","","","HUN","2575","","","1977","M",""
"Rusev, Krasimir","GM","","","BUL","2556","","","1983","M",""
"Rustemov, Alexander","GM","","","RUS","2538","","","1973","M",""
"Ruzele, Darius","GM","","","LTU","2531","","","1968","M","i"
"Rychagov, Andrey","GM","","","RUS","2561","2445","2483","1979","M",""
"Rychagov, Mikhail","GM","","FST","EST","2464","","","1967","M","i"
"Sadler, Matthew D","GM","","","ENG","2646","","2545","1974","M",""
"Sadorra, Julio Catalino","GM","","","PHI","","2531","2544","1986","M",""
"Sadvakasov, Darmen","GM","","","KAZ","2629","2601","2629","1979","M","i"
"Safarli, Eltaj","GM","","","AZE","2660","","2597","1992","M",""
"Sagalchik, Gennadij","GM","","","USA","2435","","","1969","M",""
