"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Sakaev, Konstantin","GM","","","RUS","2591","","2591","1974","M","i"
"Salem, A.R. Saleh","GM","","","UAE","2531","","2538","1993","M",""
"Salgado Lopez, Ivan","GM","","","ESP","2603","2628","2524","1991","M",""
"Salov, Valery","GM","","","RUS","2644","","","1964","M","i"
"Saltaev, Mihail","GM","","","UZB","2480","","","1962","M",""
"Salvador, Roland","GM","","","PHI","","2453","","1982","M",""
"Sambuev, Bator","GM","","","CAN","2519","","","1980","M",""
"San Segundo Carrillo, Pablo","GM","","","ESP","2491","","","1970","M",""
"Sanchez, Joseph","GM","","","PHI","","2531","","1970","M",""
"Sandipan, Chanda","GM","","","IND","2613","2628","2607","1983","M",""
"Sanduleac, Vasile","GM","","FA","MDA","2414","2397","","1971","M",""
"Sanikidze, Tornike","GM","","","GEO","2553","2594","2613","1989","M",""
"Santo-Roman, Marc","GM","","","FRA","2392","","","1960","M","i"
"Sargissian, Gabriel","GM","","","ARM","2671","2682","2723","1983","M",""
"Saric, Ante","GM","","FT","CRO","2551","2547","2554","1984","M",""
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
