"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Khasin, Alexander","GM","","IA","RUS","2501","2466","","1951","M","i"
"Khatanbaatar, Bazar","GM","","","MGL","2329","","","1973","M",""
"Khenkin, Igor","GM","","","GER","2601","2622","2621","1968","M",""
"Khismatullin, Denis","GM","","","RUS","2658","2674","2693","1984","M",""
"Khmelniker, Ilya","GM","","","ISR","2494","","","1985","M",""
"Khruschiov, Alexey","GM","","FA","MDA","2432","2495","2473","1982","M",""
"Khusnutdinov, Rustam","GM","","","KAZ","2509","2598","2591","1987","M",""
"Kim, Alexey","GM","","FT","KOR","2477","","","1986","M",""
"Kindermann, Stefan","GM","","","AUT","2498","2528","","1959","M",""
"King, Daniel J","GM","","","ENG","2466","","","1963","M","i"
"Kiriakov, Petr","GM","","","RUS","2538","2523","","1975","M","i"
"Kiselev, Vitaliy","GM","","","RUS","2505","","","1988","M",""
"Kishnev, Sergey","GM","","","RUS","2484","","","1956","M","i"
"Kislinsky, Alexey","GM","","","CZE","2565","2513","2476","1984","M",""
"Klaric, Zlatko","GM","","","CRO","2416","","","1956","M",""
"Klimov, Sergey","GM","","","RUS","2492","2459","","1979","M",""
"Klinger, Josef","GM","","","AUT","2433","","","1967","M","i"
"Knaak, Rainer","GM","","","GER","2482","","","1953","M","i"
"Kobalia, Mikhail","GM","","FST","RUS","2651","2590","2607","1978","M",""
"Kochyev, Alexander","GM","","","RUS","2417","","","1956","M","i"
"Kogan, Artur","GM","","","ISR","2570","","2589","1974","M",""
"Kokarev, Dmitry","GM","","","RUS","2639","2644","2679","1982","M",""
"Kolev, Atanas","GM","","","BUL","2581","","","1967","M",""
"Komarov, Dimitri","GM","","FST","UKR","2518","2523","2528","1968","M",""
"Komliakov, Viktor","GM","","FT","MDA","2416","","2401","1960","M",""
"Komljenovic, Davorin","GM","","","CRO","2408","","2412","1944","M",""
"Koneru, Humpy","GM","WGM","","IND","2597","2626","2558","1987","F",""
"Koniushkov, Igor","GM","","","RUS","2514","","","1962","M","i"
"Kononenko, Dmitry","GM","","","UKR","2610","2583","2665","1988","M",""
"Korchnoi, Viktor","GM","","","SUI","2499","","","1931","M",""
"Korneev, Oleg","GM","","","ESP","2617","2583","2626","1969","M",""
"Kornev, Alexei","GM","","","RUS","2543","","","1976","M","i"
"Korobov, Anton","GM","","","UKR","2715","2719","2753","1985","M",""
"Korotylev, Alexey","GM","","","RUS","2573","","2538","1977","M","i"
"Kosanovic, Goran A","GM","","","SRB","2369","","","1962","M",""
"Kosashvili, Yona","GM","","","ISR","2531","","","1970","M",""
"Kosic, Dragan","GM","","","MNE","2501","","","1970","M",""
"Kosintseva, Nadezhda","GM","WGM","","RUS","2531","2516","2519","1985","F",""
"Kosintseva, Tatiana","GM","WGM","","RUS","2526","2503","2480","1986","F",""
"Kosten, Anthony C.","GM","","","FRA","2453","","","1958","M",""
"Kosteniuk, Alexandra","GM","WGM","","RUS","2489","2575","2612","1984","F",""
"Kostenko, Petr","GM","","","KAZ","2500","2433","2474","1976","M",""
"Kostic, Vladimir G","GM","","","SRB","2430","","","1953","M",""
"Kosyrev, Vladimir","GM","","","RUS","2520","","","1980","M","i"
"Kotanjian, Tigran","GM","","","ARM","2529","2461","2489","1981","M",""
"Kotronias, Vasilios","GM","","","GRE","2581","","","1964","M",""
"Kotsur, Pavel","GM","","FA","KAZ","2559","2539","2572","1974","M",""
"Kouatly, Bachar","GM","","","FRA","2453","","","1958","M","i"
"Kovacevic, Aleksandar","GM","","","SRB","2557","","","1974","M",""
"Kovacevic, Vlatko","GM","","","CRO","2478","","","1942","M",""
"Kovalenko, Igor","GM","","","LAT","2596","2625","2679","1988","M",""
"Kovalev, Andrei","GM","","FST","BLR","2473","","","1961","M",""
"Kovalyov, Anton","GM","","","ARG","2606","2567","","1992","M",""
"Kovchan, Alexander","GM","","","UKR","2577","2533","2616","1983","M",""
"Kozul, Zdenko","GM","","","CRO","2606","","2592","1966","M",""
"Kraai, Jesse","GM","","","USA","2514","","","1972","M","i"
"Kraemer, Martin","GM","","","GER","2542","2527","","1987","M",""
"Kraidman, Yair","GM","","","ISR","2254","","","1932","M",""
"Krakops, Maris","GM","","","LAT","2510","2470","","1978","M","i"
"Kramnik, Vladimir","GM","","","RUS","2803","","2752","1975","M",""
"Krapivin, Alexander","GM","","","RUS","2430","2446","2373","1987","M",""
"Krasenkow, Michal","GM","","FST","POL","2642","2634","2548","1963","M",""
"Kravtsiv, Martyn","GM","","","UKR","2626","2598","2531","1990","M",""
"Kreiman, Boris","GM","","","USA","2481","","2456","1976","M",""
"Krejci, Jan","GM","","","CZE","2503","","","1992","M",""
"Kristiansen, Jens","GM","","","DEN","2412","","","1952","M",""
"Kristjansson, Stefan","GM","","","ISL","2494","","","1982","M",""
"Kritz, Leonid","GM","","","GER","2613","","","1984","M","i"
"Krivoborodov, Egor","GM","","","RUS","2502","","2523","1989","M",""
"Krivoshey, Sergei","GM","","","UKR","2471","2455","","1971","M",""
"Krogius, Nikolai V","GM","","IA","RUS","2485","","","1930","M","i"
"Kruppa, Yuri","GM","","","UKR","2540","","","1964","M",""
"Kryakvin, Dmitry","GM","","","RUS","2576","2455","2524","1984","M",""
"Krylov, Mikhail","GM","","","RUS","2476","2503","2481","1987","M",""
"Kryvoruchko, Yuriy","GM","","","UKR","2659","","2628","1986","M",""
"Kuczynski, Robert","GM","","","POL","2487","","","1966","M",""
"Kudrin, Sergey","GM","","","USA","2521","","","1959","M",""
"Kulaots, Kaido","GM","","","EST","2581","2598","2564","1976","M",""
"Kuligowski, Adam","GM","","","POL","2430","","","1955","M","i"
"Kuljasevic, Davorin","GM","","","CRO","2574","","2520","1986","M",""
"Kumaran, Dharshan","GM","","","ENG","2505","","","1975","M","i"
"Kunin, Vitaly","GM","","","GER","2507","2501","2472","1983","M",""
"Kunte, Abhijit","GM","","","IND","2507","","","1977","M",""
"Kupreichik, Viktor D","GM","","","BLR","2443","2454","","1949","M",""
"Kurajica, Bojan","GM","","","BIH","2513","2511","","1947","M",""
"Kurnosov, Igor","GM","","","RUS","2657","2623","2602","1985","M",""
"Kutirov, Rolando","GM","","","MKD","2326","2317","","1962","M",""
"Kuzmin, Alexey","GM","","FST","RUS","2539","","","1963","M","i"
"Kuzmin, Gennadi P","GM","","","UKR","2426","2433","2546","1946","M",""
"Kuzubov, Yuriy","GM","","","UKR","2615","2624","2588","1990","M",""
"Kveinys, Aloyzas","GM","","","LTU","2479","2531","2500","1962","M",""
"L'Ami, Erwin","GM","","","NED","2640","2662","","1985","M",""
"Lafuente, Pablo","GM","","","ARG","2550","","","1985","M","i"
"Lagarde, Maxime","GM","","","FRA","2524","2544","","1994","M",""
"Lagno, Kateryna","GM","WGM","","UKR","2542","2598","2504","1989","F",""
"Lajthajm, Borko","GM","","","SRB","2478","2434","","1976","M",""
"Lalic, Bogdan","GM","","","CRO","2489","2533","2488","1964","M",""
"Lalith, Babu M.R.","GM","","","IND","2571","2580","2555","1993","M",""
"Landa, Konstantin","GM","","FST","RUS","2628","2608","2565","1972","M",""
"Lanka, Zigurds","GM","","","LAT","2435","2456","","1960","M",""
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
