"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Huzman, Alexander","GM","","","ISR","2572","","","1962","M",""
"Ibarra Jerez, Jose Carlos","GM","","","ESP","2538","","","1985","M",""
"Ibragimov, Alibek","GM","","","KAZ","2498","","","1970","M","i"
"Ibragimov, Ildar","GM","","","USA","2571","2506","2522","1967","M",""
"Ibrahimov, Rasul","GM","","","AZE","2527","","","1981","M",""
"Ibrayev, Nurlan","GM","","FA","KAZ","2394","2404","2401","1977","M",""
"Ikonnikov, Vyacheslav","GM","","","RUS","2535","","","1966","M",""
"Ilincic, Zlatko","GM","","","SRB","2426","","","1968","M",""
"Iljin, Artem","GM","","","RUS","2540","2544","","1987","M",""
"Iljushin, Alexei","GM","","","RUS","2518","2509","","1980","M",""
"Illescas Cordoba, Miguel","GM","","FST","ESP","2613","","","1965","M",""
"Inarkiev, Ernesto","GM","","","RUS","2680","2696","2728","1985","M",""
"Inkiov, Ventzislav","GM","","IA","BUL","2465","2481","2440","1956","M",""
"Ionescu, Constantin","GM","","","ROU","2443","2450","2426","1958","M",""
"Ionov, Sergey","GM","","","RUS","2538","2527","","1962","M",""
"Iordachescu, Viorel","GM","","","MDA","2579","2633","2573","1977","M",""
"Iotov, Valentin","GM","","","BUL","2574","","2586","1988","M",""
"Ipatov, Alexander","GM","","","TUR","2590","2596","2634","1993","M",""
"Irzhanov, Ruslan","GM","","","KAZ","2494","","","1976","M","i"
"Iskusnyh, Sergei","GM","","","RUS","2489","2513","2497","1974","M",""
"Ismagambetov, Anuar","GM","","","KAZ","2495","2573","2427","1986","M",""
"Istratescu, Andrei","GM","","","FRA","2655","2674","2668","1975","M",""
"Iturrizaga, Eduardo","GM","","","VEN","2645","2652","2673","1989","M",""
"Iuldachev, Saidali","GM","","","UZB","2474","2499","2485","1968","M",""
"Ivanchuk, Vassily","GM","","","UKR","2753","2725","2750","1969","M",""
"Ivanisevic, Ivan","GM","","","SRB","2649","2652","2641","1977","M",""
"Ivanov, Alexander","GM","","","USA","2517","","","1956","M",""
"Ivanov, Alexander Al.","GM","","FA","RUS","2424","2424","","1965","M",""
"Ivanov, Mikhail M","GM","","","RUS","2392","","","1969","M",""
"Ivanov, Sergey","GM","","","RUS","2555","","","1961","M",""
"Ivanovic, Bozidar","GM","","","MNE","2419","2410","","1949","M",""
"Ivkov, Borislav","GM","","IA","SRB","2410","","","1933","M",""
"Izeta Txabarri, Felix","GM","","","ESP","2459","","","1961","M","i"
"Izmukhambetov, Salauat","GM","","","KAZ","2431","","","","M","i"
"Izoria, Zviad","GM","","","USA","2591","","2557","1984","M",""
"Jacimovic, Dragoljub","GM","","","MKD","2429","2454","2444","1964","M",""
"Jakovenko, Dmitry","GM","","","RUS","2713","2690","2693","1983","M",""
"Jakubiec, Artur","GM","","","POL","2525","","","1973","M",""
"Jakubowski, Krzysztof","GM","","","POL","2507","","2455","1983","M",""
"Janev, Evgeni","GM","","","BUL","2444","","","1973","M",""
"Janjghava, Lasha","GM","","FT","GEO","2468","","","1970","M","i"
"Jankovic, Alojzije","GM","","","CRO","2559","2527","2524","1983","M",""
"Janovsky, Sergey","GM","","FST","RUS","2496","","","1960","M","i"
"Jansa, Vlastimil","GM","","FST","CZE","2439","","","1942","M",""
"Janssen, Ruud","GM","","","NED","2469","","","1979","M",""
"Jaracz, Pawel","GM","","","POL","2531","2536","2556","1975","M",""
"Jedynak, Radoslaw","GM","","","POL","2469","","","1982","M",""
"Jenni, Florian","GM","","","SUI","2511","2489","","1980","M",""
"Jeremic, Veljko","GM","","","SRB","2492","","","1985","M",""
"Jianu, Vlad-Cristian","GM","","","ROU","2560","2536","2524","1984","M",""
"Jirovsky, Milos","GM","","","CZE","2478","","2512","1974","M",""
"Jobava, Baadur","GM","","","GEO","2688","2680","2628","1983","M",""
"Johannessen, Leif Erlend","GM","","","NOR","2520","2528","2468","1980","M",""
"Johansen, Darryl K.","GM","","","AUS","2409","2441","","1959","M",""
"Jojua, Davit","GM","","","GEO","2548","2531","2533","1989","M",""
"Jones, Gawain C B","GM","","","ENG","2643","","2655","1987","M",""
"Jonkman, Harmen","GM","","","NED","2425","","","1975","M",""
"Jovanic, Ognjen","GM","","","CRO","2532","2521","2413","1978","M",""
"Jovanovic, Zoran","GM","","","CRO","2529","","2660","1979","M",""
"Jumabayev, Rinat","GM","","","KAZ","2548","2552","2597","1989","M",""
"Jussupow, Artur","GM","","FST","GER","2587","2609","2505","1960","M",""
"Kabanov, Nikolai","GM","","","RUS","2472","2445","2440","1980","M",""
"Kacheishvili, Giorgi","GM","","","GEO","2604","","2615","1977","M",""
"Kaidanov, Gregory S","GM","","","USA","2577","","","1959","M",""
"Kalinin, Alexander","GM","","","RUS","2459","","","1968","M","i"
"Kalinitschew, Sergey","GM","","","GER","2445","","","1956","M",""
"Kallai, Gabor","GM","","IA,FST","HUN","2473","","","1959","M",""
"Kallio, Heikki","GM","","","FIN","2492","","","1980","M","i"
"Kalod, Radek","GM","","","CZE","2486","2491","","1978","M",""
"Kalugin, Sergey G.","GM","","","RUS","2377","2352","2397","1970","M","i"
"Kaminski, Marcin","GM","","","POL","2457","","","1977","M","i"
"Kamsky, Gata","GM","","","USA","2741","2751","2734","1974","M",""
"Kanep, Meelis","GM","","","EST","2509","","2486","1983","M",""
"Kantsler, Boris","GM","","","ISR","2430","2401","2458","1962","M",""
"Kapnisis, Spyridon","GM","","","GRE","2451","","","1981","M",""
"Karjakin, Sergey","GM","","","RUS","2782","2808","2873","1990","M",""
"Karlsson, Lars","GM","","","SWE","2415","","2425","1955","M",""
"Karpatchev, Aleksandr","GM","","","RUS","2484","","2334","1967","M",""
"Karpov, Anatoly","GM","","FA,FST","RUS","2619","2637","2644","1951","M",""
"Kasimdzhanov, Rustam","GM","","","UZB","2699","2694","2681","1979","M",""
"Kasparov, Garry","GM","","FST","RUS","2812","","","1963","M","i"
"Kasparov, Sergey","GM","","","BLR","2482","","2496","1968","M",""
"Kaufman, Larry C","GM","","","USA","2325","","2263","1947","M",""
"Kavalek, Lubomir","GM","","","USA","2527","","","1943","M","i"
"Kayumov, Dmitry D","GM","","","UZB","2389","","","1949","M",""
"Kayumov, Sergey","GM","","","UZB","2505","2495","2511","1981","M","i"
"Kazakov, Mikhail","GM","","","UKR","2502","2507","2445","1972","M",""
"Kazhgaleyev, Murtas","GM","","","KAZ","2597","2591","2661","1973","M",""
"Keene, Raymond D","GM","","IA,IO","ENG","2455","","","1948","M","i"
"Keitlinghaus, Ludger","GM","","","GER","2489","","","1965","M","i"
"Kekelidze, Mikheil","GM","","","GEO","2503","","2590","1974","M",""
"Kempinski, Robert","GM","","","POL","2587","2610","2637","1977","M",""
