"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Galdunts, Sergey","GM","","","ARM","2425","","","1965","M",""
"Galego, Luis","GM","","","POR","2488","2494","","1966","M",""
"Galkin, Alexander","GM","","","RUS","2626","2599","","1979","M",""
"Gallagher, Joseph G.","GM","","","SUI","2518","2522","2479","1964","M",""
"Ganguly, Surya Shekhar","GM","","","IND","2628","2637","2624","1983","M",""
"Gao, Rui","GM","","","CHN","2459","","2503","1992","M",""
"Gaprindashvili, Nona","GM","WIM","","GEO","2312","2244","2261","1941","F",""
"Gaprindashvili, Valeriane","GM","","","GEO","2371","","","1982","M",""
"Garcia Martinez, Silvino","GM","","FST","CUB","2325","","","1944","M",""
"Garcia Palermo, Carlos","GM","","FT","ITA","2468","","","1953","M",""
"Garcia, Gildardo","GM","","","COL","2393","","","1954","M",""
"Gareev, Timur","GM","","","USA","2676","","2634","1988","M",""
"Gasanov, Eldar","GM","","","UKR","2458","2435","","1982","M","i"
"Gashimov, Vugar","GM","","","AZE","2737","","","1986","M","i"
"Gausel, Einar","GM","","","NOR","2501","","","1963","M",""
"Gavrikov, Viktor","GM","","","LTU","2514","","","1957","M","i"
"Gavrilov, Alexei","GM","","","RUS","2454","2466","2430","1960","M",""
"Gazarian, Aram","GM","","","RUS","2513","","","1983","M","i"
"Gdanski, Jacek","GM","","","POL","2510","","2483","1970","M",""
"Gelashvili, Tamaz","GM","","","GEO","2560","","2653","1978","M",""
"Gelfand, Boris","GM","","","ISR","2755","2728","2694","1968","M",""
"Geller, Jakov","GM","","","RUS","2549","2522","2556","1986","M",""
"Genov, Petar","GM","","","BUL","2468","2461","2469","1970","M",""
"Georgiev, Kiril","GM","","","BUL","2636","2651","2725","1965","M",""
"Georgiev, Krum","GM","","","BUL","2443","","","1958","M",""
"Georgiev, Vladimir","GM","","","MKD","2532","2540","","1975","M",""
"Gershon, Alik","GM","","","ISR","2482","","","1980","M",""
"Ghaem Maghami, Ehsan","GM","","","IRI","2554","2588","2557","1982","M",""
"Ghane, Shojaat","GM","","","IRI","2321","","","1975","M",""
"Gharamian, Tigran","GM","","","FRA","2655","2652","2656","1984","M",""
"Gheorghiu, Florin","GM","","","ROU","2387","","","1944","M",""
"Ginsburg, Gennadi","GM","","","GER","2513","","","1971","M",""
"Giorgadze, Giorgi","GM","","","GEO","2584","","","1964","M","i"
"Giorgadze, Tamaz","GM","","FST","GEO","2504","","","1947","M","i"
"Giri, Anish","GM","","","NED","2734","2712","2685","1994","M",""
"Gleizerov, Evgeny","GM","","","RUS","2553","2615","2559","1963","M",""
"Glek, Igor","GM","","FST,IO","GER","2464","2450","2546","1961","M",""
"Godena, Michele","GM","","","ITA","2518","2519","2536","1967","M",""
"Gofshtein, Leonid","GM","","","ISR","2460","2459","2528","1953","M",""
"Goldin, Alexander","GM","","","USA","2549","","","1964","M",""
"Golizadeh, Asghar","GM","","","IRI","2500","","2470","1990","M",""
"Golod, Vitali","GM","","FST","ISR","2578","2577","2559","1971","M",""
"Goloshchapov, Alexander","GM","","FT","UKR","2587","2574","2631","1978","M",""
"Golubev, Mikhail","GM","","","UKR","2489","2483","2439","1970","M","i"
"Gomez Esteban, Juan Mario","GM","","","ESP","2462","","","1958","M",""
"Gomez, John Paul","GM","","","PHI","","2510","2479","1986","M",""
"Gonda, Laszlo","GM","","","HUN","2524","","","1988","M",""
"Gonzales, Jayson","GM","","FT","PHI","","","2349","1969","M","i"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
