"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Eljanov, Pavel","GM","","","UKR","2707","2709","2676","1983","M",""
"Emms, John M","GM","","","ENG","2469","","","1967","M",""
"Enders, Peter","GM","","","GER","2464","","","1963","M",""
"Epishin, Vladimir","GM","","","RUS","2602","2596","2565","1965","M",""
"Erdos, Viktor","GM","","","HUN","2645","2614","2618","1987","M",""
"Erenburg, Sergey","GM","","","USA","2615","","","1983","M",""
"Ermenkov, Evgenij","GM","","","BUL","2425","2417","","1949","M",""
"Ernst, Sipke","GM","","","NED","2594","","2528","1979","M",""
"Ernst, Thomas","GM","","","SWE","2392","","","1960","M",""
"Eryomenko, Volodymyr","GM","","","UKR","2503","","2291","1987","M","i"
"Esen, Baris","GM","","","TUR","2562","","2576","1986","M",""
"Espig, Lutz","GM","","","GER","2302","","","1949","M",""
"Evdokimov, Alexander A.","GM","","","RUS","2558","2587","2534","1985","M",""
"Farago, Ivan","GM","","","HUN","2447","","","1946","M",""
"Fargere, Francois","GM","","","FRA","2446","2455","2384","1985","M",""
"Fedorchuk, Sergey A.","GM","","","UKR","2665","2614","2675","1981","M",""
"Fedorov, Alexei","GM","","","BLR","2592","2547","","1972","M",""
"Fedorowicz, John P","GM","","","USA","2439","","","1958","M",""
"Fedoseev, Vladimir","GM","","","RUS","2510","2654","2582","1995","M",""
"Felgaer, Ruben","GM","","","ARG","2589","","","1981","M",""
"Fercec, Nenad","GM","","","CRO","2499","","2552","1961","M",""
"Fernandes, Antonio","GM","","","POR","2390","2398","","1962","M",""
"Fernandez Garcia, Jose Luis","GM","","","ESP","2425","","","1954","M",""
"Feygin, Michael","GM","","","GER","2533","","","1975","M",""
"Fier, Alexandr","GM","","","BRA","2609","2610","2575","1988","M",""
"Filippov, Anton","GM","","","UZB","2644","2576","2536","1986","M",""
"Filippov, Valerij","GM","","","RUS","2553","2555","","1975","M","i"
"Finegold, Benjamin","GM","","","USA","2507","","","1969","M",""
"Finkel, Alexander","GM","","","ISR","2500","2521","","1975","M",""
"Firman, Nazar","GM","","","UKR","2526","2505","2437","1983","M",""
"Fish, Gennadij","GM","","","GER","2464","","","1973","M",""
"Fishbein, Alexander","GM","","","USA","2506","","","1968","M",""
"Flear, Glenn C","GM","","","ENG","2456","","","1959","M",""
"Flores Rios, Mauricio","GM","","","CHI","2492","","2480","1990","M",""
"Flores, Diego","GM","","","ARG","2594","2613","2618","1982","M",""
"Flumbort, Andras Dr.","GM","","","HUN","2469","","","1984","M",""
"Fodor, Tamas Jr.","GM","","","HUN","2480","","","1991","M",""
"Fogarasi, Tibor","GM","","","HUN","2402","","","1969","M",""
"Fominyh, Alexander","GM","","FT","RUS","2450","2469","","1959","M",""
"Fontaine, Robert","GM","","","FRA","2549","","","1980","M",""
"Forintos, Gyozo V","GM","","IA","HUN","2317","","","1935","M","i"
"Franco Ocampos, Zenon","GM","","FST","PAR","2490","","","1956","M",""
"Fressinet, Laurent","GM","","","FRA","2700","2690","2719","1981","M",""
"Fridman, Daniel","GM","","","GER","2629","2644","2700","1976","M",""
"Friedel, Joshua E","GM","","","USA","2485","","","1986","M",""
"Frolyanov, Dmitry","GM","","","RUS","2570","2665","2533","1986","M",""
"Ftacnik, Lubomir","GM","","","SVK","2543","","","1957","M",""
"Gabriel, Christian","GM","","","GER","2495","","","1975","M","i"
"Gabrielian, Artur","GM","","","RUS","2545","2472","2497","1982","M",""
"Gabuzyan, Hovhannes","GM","","","ARM","2533","2524","2480","1995","M",""
"Gagunashvili, Merab","GM","","","GEO","2601","2603","2618","1985","M",""
"Gajewski, Grzegorz","GM","","","POL","2635","2653","2560","1985","M",""
