"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Nikolaidis, Ioannis","GM","","","GRE","2559","","2533","1971","M",""
"Nikolenko, Oleg","GM","","","RUS","2512","2496","2482","1959","M",""
"Nikolic, Predrag","GM","","","BIH","2612","","2606","1960","M",""
"Nikolic, Stanimir","GM","","","SRB","2261","","","1935","M",""
"Nikolov, Momchil","GM","","","BUL","2538","2542","","1985","M",""
"Ninov, Nikolai","GM","","","BUL","2491","","","1969","M",""
"Nisipeanu, Liviu-Dieter","GM","","","ROU","2667","2640","2614","1976","M",""
"Nogueiras Santiago, Jesus","GM","","FST","CUB","2501","","2530","1959","M",""
"Norwood, David R","GM","","","AND","2491","","","1968","M",""
"Novik, Maxim","GM","","","RUS","2451","2454","2446","1970","M",""
"Novikov, Igor A","GM","","","USA","2563","","","1962","M","i"
"Novikov, Maxim","GM","","","RUS","2507","2513","2528","1972","M",""
"Novikov, Stanislav","GM","","","RUS","2545","2587","","1985","M","i"
"Nunn, John D M","GM","","","ENG","2602","","","1955","M","i"
"Nyback, Tomi","GM","","","FIN","2599","2576","","1985","M",""
"Nyzhnyk, Illya","GM","","","UKR","2607","2610","2612","1996","M",""
"Obukhov, Alexander","GM","","","RUS","2372","","","1969","M","i"
"Odeev, Handszar","GM","","","TKM","2395","","","1972","M",""
"Ogaard, Leif","GM","","","NOR","2404","","","1952","M",""
"Okhotnik, Vladimir","GM","","","FRA","2383","2470","2401","1950","M",""
"Olafsson, Fridrik","GM","","","ISL","2407","","","1935","M",""
"Olafsson, Helgi","GM","","FST","ISL","2544","","","1956","M",""
"Oleksienko, Mikhailo","GM","","","UKR","2568","2578","2480","1986","M",""
"Olszewski, Michal","GM","","","POL","2551","2541","2525","1989","M",""
"Oms Pallisse, Josep","GM","","","ESP","2497","","","1973","M",""
"Onischuk, Alexander","GM","","","USA","2667","","","1975","M",""
"Onischuk, Vladimir","GM","","","UKR","2581","2543","2515","1991","M",""
"Oral, Tomas","GM","","","CZE","2528","","","1977","M","i"
"Oratovsky, Michael","GM","","","ISR","2499","","","1974","M",""
"Orlov, Andrey","GM","","","RUS","2535","","","1977","M",""
