"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Stanojoski, Zvonko","GM","","","MKD","2404","2406","2379","1964","M",""
"Starostits, Ilmars","GM","","","LAT","2473","2486","2469","1979","M",""
"Stean, Michael F","GM","","","ENG","2500","","","1953","M","i"
"Stefanova, Antoaneta","GM","","FT","BUL","2531","2582","2508","1979","F",""
"Stefansson, Hannes","GM","","","ISL","2507","","","1972","M",""
"Steingrimsson, Hedinn","GM","","FST,FT","ISL","2561","","","1975","M",""
"Stellwagen, Daniel","GM","","","NED","2604","","","1987","M",""
"Stevic, Hrvoje","GM","","","CRO","2626","","2579","1980","M",""
"Stocek, Jiri","GM","","","CZE","2576","2545","2532","1977","M",""
"Stohl, Igor","GM","","FST","SVK","2523","","","1964","M",""
"Stojanovic, Dalibor","GM","","","BIH","2514","","","1983","M",""
"Stojanovic, Mihajlo","GM","","","SRB","2564","2592","2605","1977","M",""
"Strikovic, Aleksa","GM","","","SRB","2504","","","1961","M",""
"Stripunsky, Alexander","GM","","","USA","2551","","2575","1970","M",""
"Stupak, Kirill","GM","","","BLR","2510","2523","2555","1990","M",""
"Sturua, Zurab","GM","","FST","GEO","2524","2525","","1959","M","i"
"Suba, Mihai","GM","","","ROU","2402","2379","","1947","M",""
"Sulava, Nenad","GM","","","CRO","2484","","2462","1962","M",""
"Sulskis, Sarunas","GM","","","LTU","2552","2555","2524","1972","M",""
"Sulypa, Oleksandr","GM","","FST","UKR","2508","2437","2394","1972","M",""
"Sumets, Andrey","GM","","","UKR","2583","2577","2611","1980","M",""
"Summerscale, Aaron P","GM","","","ENG","2423","2429","","1969","M","i"
"Sundararajan, Kidambi","GM","","","IND","2428","","2454","1982","M",""
"Sunye Neto, Jaime","GM","","","BRA","2486","","","1957","M","i"
"Suradiradja, Herman","GM","","","INA","2215","","","1947","M",""
"Sutovsky, Emil","GM","","","ISR","2660","2663","","1977","M",""
"Suttles, Duncan","GM","","","CAN","2420","","","1945","M","i"
"Sveshnikov, Evgeny","GM","","","LAT","2512","2541","2435","1950","M",""
"Svetushkin, Dmitry","GM","","","MDA","2605","2628","2483","1980","M",""
"Svidler, Peter","GM","","","RUS","2759","2761","2757","1976","M",""
"Swiercz, Dariusz","GM","","","POL","2633","2588","2571","1994","M",""
"Swinkels, Robin","GM","","","NED","2535","","","1989","M",""
"Szabo, Gergely-Andras-Gyula","GM","","","ROU","2550","2522","2555","1983","M",""
"Szabo, Krisztian","GM","","","HUN","2545","2555","2541","1989","M",""
"Tadic, Branko","GM","","","SRB","2513","","","1973","M",""
"Tahirov, Farhad","GM","","","AZE","2452","","","1987","M","i"
"Taimanov, Mark E","GM","","","RUS","2386","","","1926","M","i"
"Taleb, Moussa","GM","","","UAE","2406","","2295","1978","M","i"
"Talla, Vladimir","GM","","IA,FT","CZE","2394","","","1973","M",""
"Tarjan, James E","GM","","","USA","2525","","","1952","M","i"
"Temirbayev, Serikbay","GM","","FA","KAZ","2364","2397","2400","1961","M",""
"Ter-Sahakyan, Samvel","GM","","","ARM","2582","","","1993","M",""
"Teske, Henrik","GM","","","GER","2514","","","1968","M",""
"Teterev, Vitaly","GM","","","BLR","2518","","","1983","M",""
"Thipsay, Praveen M","GM","","","IND","2419","2389","2389","1959","M",""
"Thorhallsson, Throstur","GM","","","ISL","2449","","","1969","M",""
"Tihonov, Jurij","GM","","","BLR","2421","","2448","1978","M",""
"Tikkanen, Hans","GM","","","SWE","2521","","","1985","M",""
"Timman, Jan H","GM","","","NED","2581","2592","2500","1951","M",""
"Timofeev, Artyom","GM","","","RUS","2610","2605","2602","1985","M",""
"Timoscenko, Gennadij","GM","","FST","SVK","2473","","","1949","M",""
"Timoshenko, Georgy","GM","","","UKR","2522","","","1966","M",""
"Tischbierek, Raj","GM","","FT","GER","2426","","2458","1962","M",""
"Tisdall, Jonathan D","GM","","","NOR","2437","","","1958","M",""
"Tishin, Petr","GM","","","RUS","2425","","","1976","M",""
"Tiviakov, Sergei","GM","","","NED","2644","2596","2689","1973","M",""
"Tkachiev, Vladislav","GM","","","FRA","2649","2675","2657","1973","M",""
"Todorcevic Antic, Miodrag","GM","","","ESP","2410","","","1940","M",""
"Todorov, Todor","GM","","","BUL","2477","","","1974","M",""
"Todorovic, Goran M","GM","","","SRB","2488","2508","","1963","M",""
"Tolnai, Tibor","GM","","","HUN","2477","","","1964","M","i"
"Tomashevsky, Evgeny","GM","","","RUS","2709","2718","2719","1987","M",""
"Tomczak, Jacek","GM","","","POL","2564","2571","2572","1990","M",""
"Topalov, Veselin","GM","","","BUL","2784","2775","2666","1975","M",""
"Torre, Eugenio","GM","","FST","PHI","","","2444","1951","M",""
"Tosic, Miroslav","GM","","","SRB","2411","","2368","1960","M",""
"Totsky, Leonid","GM","","","RUS","2469","2494","","1967","M","i"
"Toufighi, Homayoon","GM","","","IRI","2442","","","1990","M",""
"Trajkovic, Predrag","GM","","FT","SRB","2463","","","1970","M","i"
"Tratar, Marko","GM","","","SLO","2508","","","1974","M",""
"Tregubov, Pavel V.","GM","","FST,FT","RUS","2611","2558","2565","1971","M",""
"Tseitlin, Mark D","GM","","","ISR","2388","2353","2363","1943","M",""
"Tu, Hoang Thong","GM","","","VIE","2414","","2488","1972","M",""
"Tukhaev, Adam","GM","","","UKR","2520","2630","2498","1988","M",""
"Tukmakov, Vladimir B","GM","","FST","UKR","2547","","","1946","M","i"
"Tunik, Gennady","GM","","","RUS","2436","2444","2458","1953","M",""
"Turner, Matthew J","GM","","","SCO","2518","2469","","1975","M",""
"Turov, Maxim","GM","","","RUS","2588","2618","2586","1979","M",""
"Tyomkin, Dimitri","GM","","","CAN","2473","","","1977","M",""
"Ubilava, Elizbar","GM","","FST","ESP","2490","2487","","1950","M",""
"Uhlmann, Wolfgang","GM","","","GER","2340","","","1935","M",""
"Ulibin, Mikhail","GM","","","RUS","2523","2500","2442","1971","M",""
"Urday, Henry","GM","","","PER","2482","","","1967","M","i"
"Ushenina, Anna","GM","WGM","","UKR","2499","2485","2489","1985","F",""
"Vachier-Lagrave, Maxime","GM","","","FRA","2706","2733","2825","1990","M",""
"Vaganian, Rafael A","GM","","","ARM","2570","","","1951","M","i"
"Vaibhav, Suri","GM","","","IND","2535","","2488","1997","M",""
"Vaisser, Anatoly","GM","","","FRA","2549","2524","2458","1949","M",""
"Vajda, Levente","GM","","","ROU","2617","2574","2598","1981","M",""
"Vakhidov, Tahir","GM","","","UZB","2446","2487","2503","1963","M",""
"Valerga, Diego","GM","","","ARG","2499","2500","2515","1971","M",""
"Vallejo Pons, Francisco","GM","","","ESP","2706","","2617","1982","M",""
"Van Den Doel, Erik","GM","","","NED","2582","","","1979","M",""
"Van Der Sterren, Paul","GM","","","NED","2484","","","1956","M",""
"Van Der Weide, Karel","GM","","","NED","2448","","","1973","M",""
"Van Der Wiel, John T.H.","GM","","","NED","2428","","","1959","M",""
"Van Kampen, Robin","GM","","","NED","2592","","2478","1994","M",""
"Van Wely, Loek","GM","","","NED","2693","","2644","1972","M",""
"Varavin, Viktor","GM","","","RUS","2442","2397","","1967","M",""
"Varga, Zoltan","GM","","","HUN","2447","2456","2458","1970","M",""
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
