"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Gonzalez Garcia, Jose","GM","","FT","MEX","2512","2506","","1973","M",""
"Gonzalez Vidal, Yuri","GM","","","CUB","2520","","2530","1981","M",""
"Gonzalez Zamora, Juan Carlos","GM","","","MEX","2522","2539","2526","1968","M",""
"Gonzalez, Renier","GM","","","USA","2472","","","1972","M","i"
"Gopal G.N.","GM","","","IND","2522","2538","2593","1989","M",""
"Gordon, Stephen J","GM","","","ENG","2521","","","1986","M",""
"Gormally, Daniel W","GM","","","ENG","2496","2546","2546","1976","M",""
"Gorovykh, Eduard","GM","","","RUS","2488","2466","","1990","M","i"
"Gozzoli, Yannick","GM","","","FRA","2530","","","1983","M",""
"Grabarczyk, Miroslaw","GM","","","POL","2460","2437","","1971","M",""
"Grachev, Boris","GM","","","RUS","2683","2684","2590","1986","M",""
"Graf, Alexander","GM","","","GER","2607","","","1962","M",""
"Granda Zuniga, Julio E","GM","","","PER","2679","2673","2677","1967","M",""
"Grandelius, Nils","GM","","","SWE","2544","","","1993","M",""
"Greenfeld, Alon","GM","","","ISR","2561","2550","","1964","M",""
"Gretarsson, Helgi Ass","GM","","","ISL","2460","","","1977","M",""
"Grigore, George-Gabriel","GM","","","ROU","2484","2491","","1970","M",""
"Grigoriants, Sergey","GM","","","RUS","2587","2530","2618","1983","M",""
"Grigorov, Grigor","GM","","","BUL","2510","","","1987","M",""
"Grigoryan, Avetik","GM","","","ARM","2605","2589","2548","1989","M",""
"Grigoryan, Karen H.","GM","","","ARM","2550","","2552","1995","M",""
"Grischuk, Alexander","GM","","","RUS","2779","2825","2858","1983","M",""
"Gritsak, Orest","GM","","","UKR","2544","2574","","1973","M",""
"Grivas, Efstratios","GM","","IA,FST,IO","GRE","2482","","","1966","M",""
"Groszpeter, Attila","GM","","","HUN","2469","","","1960","M",""
"Grover, Sahaj","GM","","","IND","2478","2493","2488","1995","M",""
"Gruenfeld, Yehuda","GM","","","ISR","2445","2450","2463","1956","M",""
"Guliev, Sarhan","GM","","FST","AZE","2460","","","1968","M",""
