"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Guliyev, Namig","GM","","","AZE","2561","2556","2497","1974","M",""
"Gulko, Boris F","GM","","FST","USA","2533","","","1947","M",""
"Gundavaa, Bayarsaikhan","GM","","","MGL","2516","","2561","1989","M",""
"Gunina, Valentina","GM","WGM","","RUS","2514","2543","2604","1989","F",""
"Gupta, Abhijeet","GM","","","IND","2600","2636","2554","1989","M",""
"Gurevich, Dmitry","GM","","","USA","2492","","","1956","M",""
"Gurevich, Ilya","GM","","","USA","2586","","","1972","M","i"
"Gurevich, Mikhail","GM","","FA,FST","TUR","2589","","","1959","M",""
"Gurevich, Vladimir","GM","","","UKR","2489","","","1959","M",""
"Guseinov, Gadir","GM","","","AZE","2631","2640","2610","1986","M",""
"Gustafsson, Jan","GM","","","GER","2624","","","1979","M",""
"Gutman, Gennadi","GM","","","UKR","2477","2486","","1973","M",""
"Gutman, Lev","GM","","","GER","2451","","","1945","M",""
"Gutov, Andrey","GM","","","RUS","2397","2400","","1978","M",""
"Gyimesi, Zoltan","GM","","","HUN","2674","","","1977","M","i"
"Haba, Petr","GM","","FT","CZE","2522","","","1965","M",""
"Halkias, Stelios","GM","","","GRE","2565","2604","","1980","M",""
"Hamdouchi, Hicham","GM","","","FRA","2602","2607","2577","1972","M",""
"Hammer, Jon Ludvig","GM","","","NOR","2599","2597","","1990","M",""
"Handke, Florian","GM","","","GER","2541","","","1982","M",""
"Hansen, Curt","GM","","","DEN","2619","","","1964","M","i"
"Hansen, Eric","GM","","","CAN","2577","","","1992","M",""
"Hansen, Lars Bo","GM","","","DEN","2568","","","1968","M",""
"Hansen, Sune Berg","GM","","","DEN","2549","","","1971","M",""
"Har-Zvi, Ronen","GM","","","ISR","2512","","","1976","M","i"
"Harika, Dronavalli","GM","WGM","","IND","2492","2469","2466","1991","F",""
"Harikrishna, P.","GM","","","IND","2680","","2631","1986","M",""
"Harutjunyan, Gevorg","GM","","","ARM","2455","","2479","1981","M",""
"Hasangatin, Ramil","GM","","","RUS","2489","2492","","1972","M",""
"Haslinger, Stewart G","GM","","","ENG","2553","","","1981","M",""
"Hayrapetyan, Hovik","GM","","","ARM","2502","","2527","1990","M",""
"Haznedaroglu, Kivanc","GM","","FT","TUR","2427","","","1981","M",""
"Hebden, Mark L","GM","","","ENG","2548","2496","2515","1958","M",""
"Heberla, Bartlomiej","GM","","FT","POL","2544","","2543","1985","M",""
"Hecht, Hans-Joachim","GM","","","GER","2346","","","1939","M",""
"Hector, Jonny","GM","","","SWE","2524","","","1964","M",""
"Hellers, Ferdinand","GM","","","SWE","2599","","","1969","M","i"
"Hellsten, Johan","GM","","","SWE","2550","","","1975","M","i"
"Henley, Ron W","GM","","","USA","2415","","","1956","M","i"
"Hera, Imre Jr.","GM","","","HUN","2560","","","1986","M",""
"Hernandez Carmenate, Holden","GM","","","CUB","2545","","2545","1984","M",""
"Hernandez Guerrero, Gilberto","GM","","","MEX","2523","","","1970","M",""
"Hernandez Onna, Roman","GM","","","CUB","2375","","","1949","M","i"
"Herraiz Hidalgo, Herminio","GM","","","ESP","2447","","","1978","M",""
"Herrera, Irisberto","GM","","FT","ESP","2438","","","1968","M",""
"Hertneck, Gerald","GM","","","GER","2499","","","1963","M",""
"Hess, Robert L","GM","","","USA","2579","2637","","1991","M",""
"Hickl, Joerg","GM","","","GER","2564","","","1965","M",""
"Hillarp Persson, Tiger","GM","","","SWE","2517","","","1970","M",""
"Hjartarson, Johann","GM","","","ISL","2583","","","1963","M",""
"Hoang, Thanh Trang","GM","WGM","","HUN","2476","2409","2414","1980","F",""
"Hodgson, Julian M","GM","","","ENG","2609","","","1963","M","i"
"Hoffman, Alejandro","GM","","","ARG","2452","","","1966","M",""
"Hoffmann, Michael","GM","","","GER","2462","","","1970","M",""
"Hoi, Carsten","GM","","","DEN","2392","","","1957","M",""
"Holt, Conrad","GM","","","USA","2531","","2527","1993","M",""
"Holzke, Frank","GM","","","GER","2476","","","1971","M",""
"Hort, Vlastimil","GM","","","GER","2447","2455","2413","1944","M",""
"Horvath, Adam","GM","","","HUN","2532","2500","2541","1981","M",""
"Horvath, Csaba","GM","","IA","HUN","2516","","","1968","M",""
"Horvath, Jozsef","GM","","IA,FST","HUN","2518","","","1964","M",""
"Horvath, Peter","GM","","","HUN","2449","","","1972","M",""
"Hossain, Enamul","GM","","","BAN","2487","2518","","1981","M",""
"Hou, Yifan","GM","WGM","","CHN","2595","2597","2560","1994","F",""
"Hovhannisyan, Robert","GM","","","ARM","2610","2584","2619","1991","M",""
"Howell, David W L","GM","","","ENG","2639","","","1990","M",""
"Howell, James C","GM","","","ENG","2495","","","1967","M","i"
"Hracek, Zbynek","GM","","","CZE","2625","","2611","1970","M",""
"Huebner, Robert","GM","","","GER","2593","2575","","1948","M",""
"Hulak, Krunoslav","GM","","","CRO","2484","","2432","1951","M","i"
"Hungaski, Robert Andrew","GM","","","USA","2471","","2532","1987","M",""
"Huschenbeth, Niclas","GM","","","GER","2542","","","1992","M",""
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
