"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Zhigalko, Sergei","GM","","","BLR","2661","2684","2661","1989","M",""
"Zhou, Jianchao","GM","","","CHN","2607","2637","2569","1988","M",""
"Zhou, Weiqi","GM","","","CHN","2590","2596","2590","1986","M",""
"Zhu, Chen","GM","","","QAT","2494","2472","2442","1976","F",""
"Zhukova, Natalia","GM","WGM","","UKR","2471","2409","2457","1979","F",""
"Ziatdinov, Raset","GM","","","USA","2348","2370","2385","1958","M",""
"Zifroni, Dov","GM","","","ISR","2488","","","1976","M",""
"Zilberman, Yaacov","GM","","","ISR","2389","","","1954","M",""
"Zinchenko, Yaroslav","GM","","","UKR","2536","2493","2531","1987","M",""
"Zlochevskij, Alexander","GM","","","ITA","2489","2485","2368","1963","M","i"
"Zoler, Dan","GM","","","ISR","2538","2546","2567","1974","M",""
"Zontakh, Andrey","GM","","","UKR","2531","","","1970","M",""
"Zubarev, Alexander","GM","","","UKR","2559","2524","2573","1979","M",""
"Zubov, Alexander","GM","","","UKR","2591","2636","2620","1983","M",""
"Zvjaginsev, Vadim","GM","","","RUS","2659","2671","2659","1976","M",""
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
