"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Saric, Ibro","GM","","","BIH","2572","","","1982","M",""
"Saric, Ivan","GM","","","CRO","2639","2589","2629","1990","M",""
"Sasikiran, Krishnan","GM","","","IND","2660","2657","2698","1981","M",""
"Savchenko, Boris","GM","","","RUS","2602","2580","2689","1986","M",""
"Savchenko, Stanislav","GM","","","UKR","2498","","2457","1967","M",""
"Savic, Miodrag R","GM","","","SRB","2529","","","1977","M",""
"Sax, Gyula","GM","","IA","HUN","2478","","","1951","M",""
"Schandorff, Lars","GM","","","DEN","2522","","","1965","M",""
"Schebler, Gerhard","GM","","","GER","2451","2417","2448","1969","M",""
"Schlosser, Philipp","GM","","","GER","2602","2603","","1968","M",""
"Schmaltz, Roland","GM","","","GER","2542","","","1974","M",""
"Schmidt, Wlodzimierz","GM","","FST","POL","2371","2328","2282","1943","M",""
"Schmittdiel, Eckhard","GM","","","GER","2435","","","1960","M",""
"Schussler, Harry","GM","","","SWE","2416","","","1957","M",""
"Schwartzman, Gabriel","GM","","","USA","2533","","","1976","M","i"
"Sebag, Marie","GM","WGM","","FRA","2527","2502","","1986","F",""
"Sebenik, Matej","GM","","","SLO","2519","2553","2544","1983","M",""
"Sedlak, Nikola","GM","","","SRB","2571","2576","","1983","M",""
"Seferjan, Narek","GM","","","ARM","2416","","","1974","M","i"
"Seirawan, Yasser","GM","","FST","USA","2620","2641","2598","1960","M",""
"Sengupta, Deep","GM","","","IND","2548","2544","2535","1988","M",""
"Seres, Lajos","GM","","","HUN","2442","2461","","1973","M",""
"Sergeev, Vladimir","GM","","","UKR","2436","2534","2475","1964","M",""
"Sermek, Drazen","GM","","","CRO","2501","","","1969","M","i"
"Serper, Grigory","GM","","","USA","2522","","","1969","M","i"
"Sethuraman, S.P.","GM","","","IND","2560","2532","2440","1993","M",""
"Sevillano, Enrico","GM","","","USA","2467","","","1968","M",""
"Shabalov, Alexander","GM","","","USA","2556","","","1967","M",""
"Shaked, Tal","GM","","","USA","2468","","","1978","M","i"
"Shalnev, Nikolai","GM","","","GER","2310","","","1944","M",""
"Shanava, Konstantine","GM","","","GEO","2563","2563","2539","1985","M",""
"Shankland, Samuel L","GM","","","USA","2601","","2601","1991","M",""
"Shaposhnikov, Evgeny","GM","","","RUS","2552","","2575","1981","M",""
"Sharapov, Evgeny","GM","","","UKR","2398","2360","2366","1981","M",""
"Sharavdorj, Dashzegve","GM","","","MGL","2426","","2477","1974","M",""
"Shariyazdanov, Andrey","GM","","","RUS","2579","2558","","1976","M","i"
"Shaw, John","GM","","","SCO","2422","","2417","1968","M",""
"Shchekachev, Andrei","GM","","","FRA","2517","2516","2540","1972","M",""
"Shcherbakov, Ruslan","GM","","","RUS","2492","2501","","1969","M",""
"Shengelia, David","GM","","","AUT","2558","2515","","1980","M",""
"Sher, Miron N","GM","","FST","USA","2404","","","1952","M",""
"Sherzer, Alex","GM","","","USA","2504","","","1971","M","i"
"Shimanov, Aleksandr","GM","","","RUS","2664","2611","2616","1992","M",""
