"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Shipov, Sergei","GM","","","RUS","2541","2543","","1966","M","i"
"Shirov, Alexei","GM","","","LAT","2703","2706","2715","1972","M",""
"Shishkin, Vadim","GM","","","UKR","2502","","","1969","M",""
"Shkuro, Iuri","GM","","","UKR","2566","2493","2525","1982","M","i"
"Shneider, Aleksandr","GM","","","UKR","2506","","","1962","M",""
"Shomoev, Anton","GM","","","RUS","2565","2602","2473","1981","M",""
"Short, Nigel D","GM","","","ENG","2682","2711","2678","1965","M",""
"Shtyrenkov, Veniamen","GM","","","RUS","2329","","","1958","M",""
"Shulman, Yury","GM","","","USA","2560","","","1975","M",""
"Shvyrjov, Igor","GM","","","EST","2461","2357","","1955","M",""
"Shyam, Sundar M.","GM","","","IND","2502","2460","2412","1992","M",""
"Siebrecht, Sebastian","GM","","","GER","2495","","","1973","M",""
"Sigurjonsson, Gudmundur","GM","","","ISL","2463","","","1947","M","i"
"Sikula, Vaszilij","GM","","","UKR","2525","","","1981","M","i"
"Simantsev, Mikhail","GM","","","UKR","2454","2493","2513","1978","M",""
"Simic, Radoslav","GM","","","SRB","2373","","","1948","M","i"
"Simonian, Hrair","GM","","","ARM","2454","2453","2453","1991","M",""
"Simutowe, Amon","GM","","","ZAM","","","","1982","M","i"
"Sisniega Campbell, Marcel","GM","","","MEX","2435","","","1959","M","i"
"Sjugirov, Sanan","GM","","","RUS","2647","2690","2644","1993","M",""
"Skatchkov, Pavel","GM","","","RUS","2486","","","1979","M",""
"Skembris, Spyridon","GM","","FST","GRE","2458","","","1958","M",""
"Skoberne, Jure","GM","","","SLO","2558","","","1987","M",""
"Skorchenko, Dmitriy","GM","","","RUS","2507","2493","","1983","M","i"
"Slipak, Sergio","GM","","","ARG","2440","2415","2412","1965","M",""
"Slobodjan, Roman","GM","","","GER","2509","","","1975","M",""
"Smagin, Sergey","GM","","","RUS","2551","2486","2399","1958","M","i"
"Smeets, Jan","GM","","","NED","2643","","","1985","M",""
"Smejkal, Jan","GM","","","CZE","2504","","","1946","M","i"
"Smerdon, David","GM","","","AUS","2521","","","1984","M",""
"Smirin, Ilia","GM","","","ISR","2663","2639","2650","1968","M",""
"Smirnov, Igor","GM","","","UKR","2496","","","1987","M","i"
"Smirnov, Pavel","GM","","","RUS","2635","2667","2584","1982","M",""
"So, Wesley","GM","","","PHI","","2642","2685","1993","M",""
"Socko, Bartosz","GM","","","POL","2646","2640","2646","1978","M",""
"Socko, Monika","GM","WGM","","POL","2458","2479","2361","1978","F",""
"Soffer, Ram","GM","","","ISR","2487","2398","2484","1965","M",""
"Sokolov, Andrei","GM","","","FRA","2563","2565","","1963","M",""
"Sokolov, Ivan","GM","","","NED","2638","","2583","1968","M",""
"Solak, Dragan","GM","","","TUR","2598","","2496","1980","M",""
"Solleveld, Maarten","GM","","","NED","2521","","","1979","M",""
"Solodovnichenko, Yuri","GM","","","UKR","2565","2564","2518","1978","M",""
"Solozhenkin, Evgeniy","GM","","","RUS","2458","2459","2433","1966","M",""
"Soltis, Andrew E","GM","","","USA","2407","","","1947","M","i"
"Sorin, Ariel","GM","","","ARG","2448","2458","","1967","M",""
"Sosonko, Gennadi","GM","","FST","NED","2520","","","1943","M","i"
"Spangenberg, Hugo","GM","","","ARG","2487","","","1975","M","i"
"Spasov, Vasil","GM","","","BUL","2565","","","1971","M",""
"Spassky, Boris V.","GM","","","RUS","2548","","","1937","M","i"
"Spassov, Liuben","GM","","","BUL","2335","","","1943","M",""
"Speelman, Jon S","GM","","","ENG","2503","","2562","1956","M",""
"Spiridonov, Nikola","GM","","","BUL","2248","","","1938","M",""
"Spoelman, Wouter","GM","","","NED","2557","","2534","1990","M",""
"Spraggett, Kevin","GM","","","CAN","2568","2548","","1954","M",""
"Sriram, Jha","GM","","","IND","2417","2411","2392","1976","M",""
"Stanec, Nikolaus","GM","","","AUT","2515","","","1968","M",""
"Stangl, Markus","GM","","","GER","2442","","","1969","M",""
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
