"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Arutinian, David","GM","","","GEO","2543","2555","2536","1984","M",""
"Arzumanian, Georgy","GM","","","ARM","2496","","","1980","M","i"
"Asanov, Bolat","GM","","IA,FST","KAZ","2422","","2332","1961","M","i"
"Ashley, Maurice","GM","","","USA","2443","","","1966","M","i"
"Askarov, Marat","GM","","","RUS","2467","2301","","1987","M",""
"Atalik, Suat","GM","","","TUR","2597","2608","","1964","M",""
"Averbakh, Yuri L","GM","","IA","RUS","2445","","","1922","M","i"
"Aveskulov, Valeriy","GM","","","UKR","2519","","","1986","M","i"
"Avrukh, Boris","GM","","FST","ISR","2576","2612","2675","1978","M",""
"Azarov, Sergei","GM","","","BLR","2635","2672","2614","1983","M",""
"Azmaiparashvili, Zurab","GM","","FST,IO","GEO","2637","","","1960","M","i"
"Babaev, Rashad","GM","","","AZE","2523","","","1981","M","i"
"Babujian, Levon","GM","","","ARM","2488","","2489","1986","M",""
"Babula, Vlastimil","GM","","","CZE","2581","","2525","1973","M",""
"Baburin, Alexander","GM","","","IRL","2520","","2485","1967","M",""
"Bacallao Alonso, Yusnel","GM","","","CUB","2519","","2602","1988","M",""
"Bachmann, Axel","GM","","","PAR","2535","","","1989","M",""
"Bacrot, Etienne","GM","","","FRA","2725","2708","2744","1983","M",""
"Badea, Bela","GM","","","ROU","2491","2483","2438","1969","M","i"
"Bagaturov, Giorgi","GM","","","GEO","2444","","","1964","M",""
"Bagheri, Amir","GM","","","IRI","2412","","","1978","M",""
"Bagirov, Rufat","GM","","","AZE","2461","","","1979","M","i"
"Baklan, Vladimir","GM","","","UKR","2613","","2608","1978","M",""
"Bakre, Tejas","GM","","","IND","2470","2507","2411","1981","M",""
"Balashov, Yuri S","GM","","","RUS","2477","2429","2474","1949","M",""
"Balinov, Ilia","GM","","","AUT","2478","","","1966","M","i"
"Balog, Imre","GM","","","HUN","2547","2572","2548","1991","M",""
"Balogh, Csaba","GM","","","HUN","2647","","2654","1987","M",""
"Banikas, Hristos","GM","","FT","GRE","2609","","","1978","M",""
"Banusz, Tamas","GM","","","HUN","2592","2559","2597","1989","M",""
"Baramidze, David","GM","","","GER","2608","","","1988","M",""
"Barbosa, Oliver","GM","","","PHI","","2569","2531","1986","M",""
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
