"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Aagaard, Jacob","GM","","FST","DEN","2519","","","1973","M",""
"Abasov, Nijat","GM","","","AZE","2492","","2409","1995","M",""
"Abbasov, Farid","GM","","","AZE","2531","","","1979","M",""
"Abdulla, Al-Rakib","GM","","","BAN","2510","2501","","1980","M",""
"Abergel, Thal","GM","","","FRA","2413","","2449","1982","M",""
"Abramovic, Bosko","GM","","FST","SRB","2458","2468","","1951","M",""
"Abreu Delgado, Aryam","GM","","","CUB","2483","","2471","1978","M",""
"Acs, Peter","GM","","","HUN","2567","","","1981","M",""
"Adams, Michael","GM","","","ENG","2740","","","1971","M",""
"Adhiban, B.","GM","","","IND","2567","","2580","1992","M",""
"Adianto, Utut","GM","","","INA","2548","","","1965","M","i"
"Adly, Ahmed","GM","","","EGY","2596","2612","","1987","M",""
"Adorjan, Andras","GM","","IA","HUN","2504","","","1950","M","i"
"Agamaliev, Gamil","GM","","","AZE","2512","","","1974","M",""
"Agdestein, Simen","GM","","","NOR","2567","","2577","1967","M",""
"Agrest, Evgenij","GM","","","SWE","2587","2561","","1966","M",""
"Ajrapetjan, Yuriy","GM","","","UKR","2502","2504","","1988","M",""
"Akesson, Ralf","GM","","","SWE","2449","2442","","1961","M",""
"Akobian, Varuzhan","GM","","","USA","2609","","2621","1983","M",""
"Akopian, Vladimir","GM","","","ARM","2691","","","1971","M",""
"Akshayraj, Kore","GM","","","IND","2508","2485","2423","1988","M",""
"Al-Modiahki, Mohamad","GM","","","QAT","2546","2553","2491","1974","M",""
"AL-Sayed, Mohammed","GM","","","QAT","2498","2513","2504","1981","M",""
"Alavkin, Arseny","GM","","","RUS","2406","2457","2481","1969","M",""
"Alburt, Lev O","GM","","FST","USA","2539","","2521","1945","M",""
"Aleksandrov, Aleksej","GM","","","BLR","2625","2582","2580","1973","M",""
"Alekseev, Evgeny","GM","","","RUS","2714","2636","2688","1985","M",""
"Almasi, Zoltan","GM","","","HUN","2707","","","1976","M",""
"Almeida Quintana, Omar","GM","","","CUB","2467","","2509","1981","M",""
"Alonso Rosell, Alvar","GM","","","ESP","2550","","","1992","M",""
"Alonso, Salvador","GM","","","ARG","2506","2544","2545","1974","M",""
"Alsina Leal, Daniel","GM","","","ESP","2538","2523","2451","1988","M",""
"Alterman, Boris","GM","","FST","ISR","2588","","","1970","M",""
"Alvarez Pedraza, Aramis","GM","","","CUB","2499","","2541","1988","M",""
"Amanov, Mesgen","GM","","","TKM","2497","","2521","1986","M",""
"Amin, Bassem","GM","","","EGY","2640","2631","2621","1988","M",""
"Amonatov, Farrukh","GM","","","TJK","2616","","2620","1978","M",""
"Anagnostopoulos, Dimitri","GM","","","GRE","2456","","","1970","M","i"
"Anand, Viswanathan","GM","","","IND","2786","2794","","1969","M",""
"Anastasian, Ashot","GM","","","ARM","2540","","","1964","M","i"
"Andersson, Ulf","GM","","","SWE","2557","","2526","1951","M",""
"Andreev, Eduard","GM","","","UKR","2498","2470","2481","1980","M",""
"Andreikin, Dmitry","GM","","","RUS","2713","2692","2824","1990","M",""
"Andriasian, Zaven","GM","","","ARM","2610","2592","2679","1989","M",""
"Anic, Darko","GM","","","FRA","2413","","","1957","M",""
"Anka, Emil","GM","","IA","HUN","2382","","","1969","M","i"
"Annageldyev, Orazly","GM","","FT","TKM","2395","","2369","1960","M",""
"Annakov, Babakuli","GM","","","USA","2429","","","1972","M","i"
"Antal, Gergely","GM","","","HUN","2503","","","1985","M",""
"Antic, Dejan","GM","","","SRB","2470","2474","","1968","M",""
"Anton Guijarro, David","GM","","","ESP","2564","2577","2543","1995","M",""
"Antoniewski, Rafal","GM","","","POL","2558","","","1980","M",""
"Antonio, Rogelio Jr","GM","","","PHI","","2517","2487","1962","M",""
"Antunes, Antonio","GM","","","POR","2496","","","1962","M","i"
"Apicella, Manuel","GM","","","FRA","2532","","","1970","M",""
"Appel, Ralf","GM","","","GER","2535","","","1971","M",""
"Arakhamia-Grant, Ketevan","GM","WGM","","SCO","2385","2440","2390","1968","F",""
"Ardiansyah, H","GM","","","INA","2368","","","1951","M",""
"Arencibia Rodriguez, Walter","GM","","FT","CUB","2526","","","1967","M",""
"Areshchenko, Alexander","GM","","","UKR","2708","","2697","1986","M",""
"Arizmendi Martinez, Julen Luis","GM","","","ESP","2580","","","1976","M",""
"Arkell, Keith C","GM","","","ENG","2444","2404","2492","1961","M",""
"Arkhipov, Sergey","GM","","FST","RUS","2507","","","1954","M","i"
"Arnason, Jon L","GM","","","ISL","2502","","","1960","M",""
"Arnold, Marc T","GM","","","USA","2525","","","1992","M",""
"Aronian, Levon","GM","","","ARM","2813","2783","2817","1982","M",""
"Aroshidze, Levan","GM","","","GEO","2568","","","1985","M",""
"Arun Prasad, S.","GM","","","IND","2522","2486","2514","1988","M",""
