"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Wang, Hao","GM","","","CHN","2746","2708","2698","1989","M",""
"Wang, Rui","GM","","","CHN","2408","2426","","1978","M",""
"Wang, Yue","GM","","","CHN","2706","2743","","1987","M",""
"Wang, Zili","GM","","","CHN","2488","","","1968","M","i"
"Ward, Chris G","GM","","","ENG","2432","","","1968","M",""
"Watson, William N","GM","","","ENG","2498","","","1962","M","i"
"Wedberg, Tom","GM","","","SWE","2484","","","1953","M",""
"Wei, Yi","GM","","","CHN","2530","","2558","1999","M",""
"Wells, Peter K","GM","","","ENG","2479","","","1965","M",""
"Wen, Yang","GM","","","CHN","2618","","2546","1988","M",""
"Werle, Jan","GM","","","NED","2517","","","1984","M",""
"Westerinen, Heikki M.J.","GM","","","FIN","2309","","","1944","M",""
"Wilder, Michael","GM","","","USA","2540","","","1962","M","i"
"Williams, Simon K","GM","","","ENG","2510","2512","2538","1979","M",""
"Winants, Luc","GM","","","BEL","2534","","","1963","M",""
"Wirig, Anthony","GM","","","FRA","2507","2508","2509","1983","M",""
"Wojtaszek, Radoslaw","GM","","","POL","2708","2735","","1987","M",""
"Wolff, Patrick G","GM","","","USA","2564","","","1968","M","i"
"Womacka, Mathias","GM","","","GER","2450","","","1966","M",""
"Wong, Meng Kong","GM","","","SIN","2301","","","1963","M",""
"Wu, Shaobin","GM","","FT","SIN","2447","","","1969","M",""
"Wu, Wenjin","GM","","","CHN","2363","","","1976","M","i"
"Xie, Jun","GM","WIM","IA,FST","CHN","2574","","","1970","F","i"
"Xiu, Deshun","GM","","","CHN","2534","2558","2500","1989","M",""
"Xu, Jun","GM","","FST,FT","CHN","2510","2523","","1962","M",""
"Xu, Yuhua","GM","WGM","","CHN","2465","","","1976","F","i"
"Yagupov, Igor","GM","","","RUS","2428","","","1965","M",""
"Yakovich, Yuri","GM","","FST","RUS","2517","2520","2422","1962","M",""
"Yandemirov, Valeri","GM","","","RUS","2422","2437","","1963","M",""
"Ye, Jiangchuan","GM","","IO","CHN","2602","","","1960","M","i"
"Ye, Rongguang","GM","","","CHN","2461","","","1963","M","i"
"Yegiazarian, Arsen","GM","","FST","ARM","2428","","","1970","M","i"
"Yemelin, Vasily","GM","","","RUS","2580","2506","2534","1976","M",""
"Yermolinsky, Alex","GM","","","USA","2506","2520","","1958","M",""
"Yevseev, Denis","GM","","","RUS","2550","2530","2534","1973","M",""
"Yilmaz, Mustafa","GM","","","TUR","2556","2562","2535","1992","M",""
"Yrjola, Jouni","GM","","","FIN","2366","","","1959","M",""
"Yu, Ruiyuan","GM","","FT","CHN","2559","2506","2516","1991","M",""
"Yu, Shaoteng","GM","","","CHN","2496","","2502","1979","M",""
"Yu, Yangyi","GM","","","CHN","2675","2675","2748","1994","M",""
"Yudasin, Leonid","GM","","","ISR","2518","","","1959","M",""
"Yudin, Sergei","GM","","","RUS","2552","2634","2559","1986","M",""
"Zablotsky, Sergei","GM","","","RUS","2522","2511","","1982","M",""
"Zagorskis, Darius","GM","","","LTU","2480","2484","","1969","M",""
"Zagrebelny, Sergey","GM","","","UZB","2484","2466","","1965","M",""
"Zaichik, Gennadi","GM","","","USA","2457","","","1957","M","i"
"Zaitsev, Igor A","GM","","","RUS","2384","2362","2431","1937","M",""
"Zaja, Ivan","GM","","FI","CRO","2487","2499","2362","1965","M",""
"Zakhartsov, Viacheslav V.","GM","","","RUS","2536","2521","","1968","M",""
"Zambrana, Oswaldo","GM","","","BOL","2470","2472","","1981","M",""
"Zapata, Alonso","GM","","FST","COL","2483","2467","2429","1958","M",""
"Zarnicki, Pablo","GM","","","ARG","2520","","","1972","M","i"
"Zaw Win Lay","GM","","FT","MYA","","","","1963","M",""
"Zeitlein, Michael","GM","","","GER","2385","","","1947","M",""
"Zelcic, Robert","GM","","FT","CRO","2537","2495","2583","1965","M",""
"Zeng, Chongsheng","GM","","","CHN","2504","","2473","1993","M",""
"Zezulkin, Jurij","GM","","","POL","2432","","2482","1971","M",""
"Zhang, Pengxiang","GM","","","CHN","2576","2579","","1980","M",""
"Zhang, Zhong","GM","","FT","SIN","2600","2586","2595","1978","M",""
"Zhao, Jun","GM","","","CHN","2589","2611","2568","1986","M",""
"Zhao, Xue","GM","WGM","","CHN","2565","2496","2458","1985","F",""
"Zhao, Zong-Yuan","GM","","","AUS","2567","","2538","1986","M",""
"Zherebukh, Yaroslav","GM","","","UKR","2637","2638","2567","1993","M",""
"Zhigalko, Andrey","GM","","","BLR","2617","2566","2503","1985","M",""
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
