"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Vasilev, Milen","GM","","","BUL","2487","2471","","1978","M",""
"Vasiukov, Evgeni","GM","","FST","RUS","2461","2419","2473","1933","M",""
"Vasquez Schroeder, Rodrigo","GM","","","CHI","2542","2563","","1969","M",""
"Vazquez Igarza, Renier","GM","","FT","ESP","2571","","","1979","M",""
"Velicka, Petr","GM","","","CZE","2433","2486","2487","1967","M",""
"Velikov, Petar","GM","","","BUL","2422","2373","","1951","M",""
"Velimirovic, Dragoljub","GM","","","SRB","2407","","","1942","M","i"
"Venkatesh, M.R.","GM","","","IND","2506","2527","2584","1985","M",""
"Vera Gonzalez-Quevedo, Reynaldo","GM","","FST","CUB","2462","","","1961","M",""
"Vescovi, Giovanni","GM","","","BRA","2606","","","1978","M",""
"Vidit, Santosh Gujrathi","GM","","","IND","2554","2549","2489","1994","M",""
"Vila Gazquez, Xavier","GM","","","ESP","2461","","","1990","M",""
"Villamayor, Buenaventura","GM","","","PHI","","","","1967","M","i"
"Visser, Yge","GM","","","NED","2465","","","1963","M","i"
"Vitiugov, Nikita","GM","","","RUS","2734","2719","","1987","M",""
"Vladimirov, Yevgeniy","GM","","FST","KAZ","2601","2573","2512","1957","M","i"
"Vocaturo, Daniele","GM","","","ITA","2536","2603","2479","1989","M",""
"Vogt, Lothar","GM","","","GER","2402","","","1952","M",""
"Voitsekhovsky, Stanislav","GM","","","RUS","2523","","","1964","M",""
"Vokac, Marek","GM","","FT","CZE","2450","","2452","1958","M",""
"Vokarev, Sergey","GM","","","RUS","2472","2469","","1970","M",""
"Volkov, Sergey","GM","","","RUS","2613","2620","2626","1974","M",""
"Volodin, Aleksandr","GM","","","EST","2487","2427","2354","1990","M",""
"Volokitin, Andrei","GM","","","UKR","2687","","","1986","M",""
"Voloshin, Leonid","GM","","","CZE","2427","2436","2416","1964","M",""
"Volzhin, Alexander","GM","","","RUS","2540","","","1971","M","i"
"Vorobiov, Evgeny E.","GM","","","RUS","2583","2632","","1976","M",""
"Vorotnikov, Vladislav V","GM","","","RUS","2480","2426","2454","1947","M",""
"Votava, Jan","GM","","","CZE","2508","","","1974","M",""
"Vovk, Andrey","GM","","","UKR","2567","","","1991","M",""
"Vovk, Yuri","GM","","","UKR","2608","2525","2531","1988","M",""
"Vuckovic, Bojan","GM","","","SRB","2594","2571","","1980","M",""
"Vukic, Milan","GM","","","BIH","2388","","2492","1942","M",""
"Vul, Arkadi Eremeevich","GM","","","RUS","2315","2296","2278","1953","M",""
"Vysochin, Spartak","GM","","","UKR","2530","2586","2604","1975","M",""
"Wahls, Matthias","GM","","","GER","2543","","","1968","M","i"
