"","ccode","cname","ccodealp","ccodecow","ccodewb","version","ajr_settmort","al_ethnic","al_language","al_religion","bl_asy15f","bl_asy15mf","bl_asy25f","bl_asy25mf","bl_lhc_15f","bl_lhc_15mf","bl_lhc_25f","bl_lhc_25mf","bl_lpc_15f","bl_lpc_15mf","bl_lpc_25f","bl_lpc_25mf","bl_lsc_15f","bl_lsc_15mf","bl_lsc_25f","bl_lsc_25mf","bl_lu_15f","bl_lu_15mf","bl_lu_25f","bl_lu_25mf","bti_cb","bti_cps","bti_ds","bti_ep","bti_ic","bti_lod","bti_mes","bti_mi","bti_mo","bti_mp","bti_pp","bti_prp","bti_psi","bti_re","bti_rol","bti_sc","bti_sdi","bti_sl","bti_st","bti_su","bti_wr","chga_demo","chga_hinst","ciri_assn","ciri_disap","ciri_dommov","ciri_elecsd","ciri_empinx_new","ciri_empinx_old","ciri_formov","ciri_injud","ciri_kill","ciri_move_old","ciri_physint","ciri_polpris","ciri_relfre_new","ciri_relfre_old","ciri_speech","ciri_tort","ciri_wecon","ciri_wopol","ciri_worker","ciri_wosoc","cm_cbgt80_89","cm_cbgt95_04","cm_cbi03","cm_cbi03u","cm_cbi80_89","cm_cbi80_89u","cm_cbt06","cm_cbt98","dpi_author","dpi_auton","dpi_cemo","dpi_checks","dpi_cl","dpi_dhondt","dpi_dmmo","dpi_eage","dpi_eipc","dpi_erlc","dpi_exelec","dpi_finter","dpi_fraud","dpi_gf","dpi_gpage1","dpi_gpage2","dpi_gpage3","dpi_gprlc1","dpi_gprlc2","dpi_gprlc3","dpi_gps1","dpi_gps2","dpi_gps3","dpi_gpvs1","dpi_gpvs2","dpi_gpvs3","dpi_gs","dpi_gvs","dpi_hlio","dpi_housesys","dpi_legelec","dpi_lipc","dpi_maj","dpi_mdmh","dpi_mdms","dpi_mt","dpi_muni","dpi_nogp","dpi_nogps","dpi_noop","dpi_noops","dpi_nos","dpi_numul","dpi_ogpvs","dpi_opage1","dpi_opf","dpi_oprlc1","dpi_plurality","dpi_polariz","dpi_pr","dpi_pvfr","dpi_pvor","dpi_seats","dpi_sensys","dpi_slop1","dpi_slop2","dpi_slop3","dpi_ssh","dpi_state","dpi_system","dpi_tf","dpi_thresh","dpi_ulprty","dpi_vslop1","dpi_vslop2","dpi_vslop3","dpi_vsoop","dpi_vsul","dpi_yct","dpi_yio","dr_eg","dr_ig","dr_pg","dr_sg","eiu_cl","eiu_dpc","eiu_epp","eiu_fog","eiu_iod","eiu_pp","el_avelf","el_gunn1","el_gunn2","epi_acsat","epi_agsub","epi_aze","epi_chmort","epi_co2cap","epi_co2gdp","epi_co2kwh","epi_epi","epi_forcov","epi_forgrow","epi_forloss","epi_fsoc","epi_indoor","epi_mpaeez","epi_pacov","epi_pm25","epi_pops","epi_renew","epi_tceez","epi_watsup","er_career","er_merit","er_salary","fao_fcc00_05","fao_fcc05_10","fao_fcc90_00","fao_fe","fao_fi","fao_fpic","fao_fpmc","fe_cultdiv","fe_etfra","fe_lmin","fe_plural","ffp_fsi","fh_aor","fh_cl","fh_ep","fh_feb","fh_fog","fh_fotpa5","fh_fotpb5","fh_fotpc5","fh_fotpsc5","fh_fotpst5","fh_ipolity2","fh_pair","fh_polity2","fh_ppp","fh_pr","fh_rol","fh_status","fi_ftradeint","fi_ftradeint_cl","fi_index","fi_index_cl","fi_legprop","fi_legprop_cl","fi_reg","fi_reg_cl","fi_sm","fi_sm_cl","fi_sog","fi_sog_cl","fk_ppi","gd_ptsa","gd_ptss","gid_fptw","gid_rfmi","gid_whp","gid_wip","gir_acrl","gir_acs","gir_csmai","gir_e","gir_ga","gir_gii","gir_or","gol_adm","gol_dist","gol_enep","gol_enep1","gol_enepo","gol_enpp","gol_enpp1","gol_enppo","gol_enpres","gol_est","gol_est_spec","gol_inst","gol_legel","gol_mix","gol_mt","gol_nos","gol_pest","gol_pr","gol_preel","gol_upseat","gol_uptier","gr_cso","gr_csopop","h_alignl1","h_alignl1l2","h_alignl2","h_f","h_j","h_l1","h_l2","h_lflo","h_lfup","h_polcon3","h_polcon5","hf_business","hf_corrupt","hf_efiscore","hf_financ","hf_fiscal","hf_govt","hf_invest","hf_labor","hf_monetary","hf_prights","hf_trade","hg_gsi","ht_colonial","ht_partsz","ht_partsz1","ht_region","ht_region2","ht_regtype","ht_regtype1","iag_hd","iag_iag","iag_prh","iag_rltc","iag_seo","iag_ss","icrg_qog","idea_bdac","idea_bdap","idea_bdcc","idea_bdcp","idea_bdfc","idea_bdfp","idea_bdgcc","idea_bdgcp","idea_bdo","idea_bdtc","idea_bdtp","idea_bsr","idea_bvb","idea_esf","idea_esl","idea_esp","idea_frcc","idea_frpe","idea_frpr","idea_ldc","idea_ldp","idea_ldpe","idea_lsc","idea_lsp","idea_mc","idea_mp","idea_ofag","idea_pfp","idea_pfpg","idea_rdid","idea_rip","ihme_ayef","ihme_ayem","ihme_fmort","ihme_mmr","ihme_nm","ihme_pnm","ipu_w_lower","ipu_w_upper","irai_bhr","irai_bre","irai_dp","irai_epru","irai_erm","irai_fp","irai_fs","irai_ge","irai_index","irai_mm","irai_pies","irai_prrg","irai_qbfm","irai_qpa","irai_spl","irai_t","irai_tac","lp_catho80","lp_lat_abst","lp_legor","lp_muslim80","lp_no_cpm80","lp_protmg80","mad_gdp","mad_gdppc","mad_gdppc1500","mad_gdppc1600","mad_gdppc1700","mad_gdppc1820","mad_gdppc1900","mad_pop","p_autoc","p_democ","p_durable","p_flag","p_fragment","p_parcomp","p_parreg","p_polity","p_polity2","p_sf","p_xconst","p_xrcomp","p_xropen","p_xrreg","pwt_csg","pwt_er","pwt_gsg","pwt_isg","pwt_openc","pwt_openk","pwt_pop","pwt_rgdpch","qs_closed","qs_closed_cih","qs_closed_cil","qs_impar","qs_impar_cih","qs_impar_cil","qs_proff","qs_proff_cih","qs_proff_cil","r_atlas","r_elf61","r_elf85","r_muller","r_roberts","ross_gas_exp","ross_gas_netexp","ross_gas_netexpc","ross_gas_price","ross_gas_prod","ross_gas_value","ross_oil_exp","ross_oil_netexp","ross_oil_netexpc","ross_oil_price","ross_oil_prod","ross_oil_value","rsf_pfi","solt_ginet","solt_ginmar","solt_redist","t_alldem","t_bribe","t_corr","t_demyrs","t_fed","t_fuel","t_paper","t_subexp","t_subrev","t_tvsets","t_unicri","t_yot","ti_cpi","ti_cpi_max","ti_cpi_min","ti_cpi_sd","uds_mean","uds_median","uds_pct025","uds_pct975","uds_sd","undp_gii","undp_hdi","une_pef","une_pem","une_pet","une_ppep","une_ppepre","une_ppes","une_preef","une_preem","une_preet","une_sef","une_sem","une_set","une_tef","une_tem","une_tet","unna_er","unna_gdp","unna_pop","van_comp","van_index","van_part","wbgi_cce","wbgi_ccn","wbgi_ccs","wbgi_gee","wbgi_gen","wbgi_ges","wbgi_pse","wbgi_psn","wbgi_pss","wbgi_rle","wbgi_rln","wbgi_rls","wbgi_rqe","wbgi_rqn","wbgi_rqs","wbgi_vae","wbgi_van","wbgi_vas","wdh_ygm80_83","wdh_ygm90_91","wdh_ylh80_83","wdh_ylh90_91","wdh_ylh90_95","wdh_ylh90_98","wdh_yls80_83","wdh_yls90_91","wdh_yls90_95","wdh_yls90_98","wdi_aas","wdi_aid","wdi_aidcu","wdi_area","wdi_ase","wdi_brd","wdi_cgd","wdi_co2","wdi_eodb","wdi_epc","wdi_eu","wdi_exp","wdi_fdi","wdi_fe","wdi_fmort","wdi_fr","wdi_fw","wdi_gbds","wdi_gce","wdi_gdp","wdi_gdpc","wdi_gdpcgr","wdi_gdpcu","wdi_gdpgr","wdi_ge","wdi_gew","wdi_gini","wdi_gni","wdi_gnipc","wdi_gr","wdi_gris","wdi_hec","wdi_hiv","wdi_idp","wdi_imp","wdi_inet","wdi_infl","wdi_ise","wdi_isl20","wdi_iws","wdi_lifexp","wdi_lue","wdi_me","wdi_megdp","wdi_mege","wdi_mort","wdi_oame","wdi_pb125","wdi_pb2","wdi_pbpl","wdi_pl","wdi_pop","wdi_prhe","wdi_puhe","wdi_rir","wdi_sse","wdi_tds","wdi_the","wdi_tot","wdi_tr","wdi_trsb","wdi_ttr","wdi_ue","wdi_urban","wdi_wip","wef_aas","wef_amp","wef_audit","wef_bccv","wef_bct","wef_bd","wef_bgr","wef_bihiv","wef_bim","wef_bit","wef_ccr","wef_chiv","wef_ci","wef_cm","wef_ct","wef_dpf","wef_dtsb","wef_ebf","wef_eet","wef_elec","wef_fgo","wef_gbb","wef_gci","wef_gd","wef_gdp","wef_gdpc","wef_gdpp1","wef_gdpp2","wef_gend","wef_gns","wef_gsibp","wef_ias","wef_ilc","wef_imort","wef_infl","wef_ipb","wef_ipr","wef_ji","wef_lifexp","wef_md","wef_mobile","wef_oc","wef_pop","wef_pr","wef_ptp","wef_ptsb","wef_qair","wef_qes","wef_qoi","wef_qpe","wef_qport","wef_qrail","wef_qroad","wef_qsri","wef_rps","wef_tax","wef_tele","wef_tgp","wef_uic","wef_wgs","wef_wlf","wr_nonautocracy","wr_regtype","wri_pa","wvs_a008","wvs_a009","wvs_a062","wvs_a165","wvs_a168","wvs_a170","wvs_a173","wvs_abort","wvs_act","wvs_auth","wvs_auton","wvs_b001","wvs_b002","wvs_b003","wvs_b008","wvs_b009","wvs_c006","wvs_e023","wvs_e033","wvs_e035","wvs_e036","wvs_e037","wvs_e039","wvs_e069_01","wvs_e069_02","wvs_e069_04","wvs_e069_05","wvs_e069_06","wvs_e069_07","wvs_e069_08","wvs_e069_10","wvs_e069_11","wvs_e069_12","wvs_e069_13","wvs_e069_14","wvs_e069_15","wvs_e069_17","wvs_e069_18","wvs_e069_19","wvs_e069_20","wvs_e110","wvs_e114","wvs_e115","wvs_e116","wvs_e117","wvs_e120","wvs_e121","wvs_e122","wvs_e123","wvs_e124","wvs_e125","wvs_e128","wvs_e150","wvs_e196","wvs_f114","wvs_f115","wvs_f116","wvs_f117","wvs_gen","wvs_happy","wvs_homo","wvs_lib","wvs_lifsat","wvs_module","wvs_org","wvs_pet","wvs_pm12","wvs_pm4","wvs_proud","wvs_rel","wvs_rs","wvs_secrat","wvs_selfexp1","wvs_selfexp2","wvs_selfexp3","wvs_sup","wvs_theo","wvs_tol","wvs_trust","wvs_vol"
"1",4,"Afghanistan","AFG",700,4,"StdCS15May13",NA,0.769344568252563,0.614146173000336,0.271683901548386,1.83620834350586,3.74475336074829,1.24387884140015,3.20619678497314,1.28731799125671,3.61146116256714,1.87896263599396,5.26385021209717,0.604287445545197,13.4872827529907,0.779402017593384,8.196213722229,5.54873704910278,6.97059917449951,2.01943564414978,5.14795303344727,79.4058837890625,58.9464225769043,83.700813293457,66.0738983154297,3.79999995231628,4.5,2.79999995231628,5,6,9.75,2.82142853736877,3.6794445514679,2.75,3.70000004768372,4,3.5,2,2,2.25,3,3,1,2.75,1.5,1.5,"0. Dictatorship","3. Civilian dictatorship",0,2,1,1,2,1,0,0,1,0,4,1,0,0,0,0,0,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,1,NA,7,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,"1. Plurality",0,4,NA,7.32000017166138,-888,1,"0. No local elections",NA,0,0,0,0,249,0,NA,NA,NA,1,0,0,NA,55,249,NA,0,0,0,0.28999999165535,"0. No local elections","0. Presidential",NA,NA,249,0,0,0,0,100,0,8,NA,30.5802993774414,46.0171203613281,19.7212791442871,4.40999984741211,2.5,6.17000007629395,0,3.05999994277954,2.22000002861023,NA,0.117647059261799,0.529411792755127,37,NA,0,0.0741999968886375,NA,NA,NA,NA,1,1,0.0599999986588955,NA,86,NA,0.370000004768372,16.0849990844727,0,NA,NA,48,NA,NA,NA,0,0,0,NA,NA,NA,NA,0.67926698923111,0.750797033309937,0.252999991178513,0.379999995231628,108.199996948242,4,6,4,5,1,22,33,21,76,"3. Not Free",1.95861077308655,5,NA,6,6,2,"3. Not Free",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379999995231628,5,5,NA,NA,NA,27.7000007629395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,4.24758434295654,NA,NA,NA,0,0,0,0,0,0,0,0,59.7000007629395,15,NA,NA,NA,83.1999969482422,65,75.8000030517578,69.5,NA,NA,NA,"0. Never colonized by a Western overseas colonial power",0,0,"8. South Asia","8. South Asia","1. Limited Multiparty","4. Multi-Party",NA,NA,NA,NA,NA,NA,NA,"1. Yes","0. No","1. Yes","1. Yes","1. Yes","1. Yes","1. Yes","1. Yes","1. Yes","1. Yes","1. Yes","1. Yes","1. Yes","5. Other","9. SNTV","1. TRS","1. Yes","0. No","1. Yes","1. Yes","1. Yes","2. Regular Limits Applies","0. No","0. No","1. Yes","0. No","0. No","0. No","2. Not Applicable","3. Sometimes","1. Yes",0.400000005960464,2.59999990463257,123.480003356934,1575.09997558594,56.8199996948242,36.3300018310547,27.2999992370605,22.5,3,2.5,3.5,3,3,3,2.5,2,2.75,3.5,2.5,1.5,3.5,2,2.5,3,2,0,0.366666704416275,"2. French Commercial Code",99.3000030517578,0.699996888637543,0,28445,868.858032226562,NA,NA,NA,NA,NA,38396,-66,-66,0,0,2,-66,-66,-66,NA,NA,-66,-66,-66,-66,42.0544204711914,50.2333335876465,22.603874206543,33.9478378295898,58.5404052734375,66.9354553222656,28395.716796875,1017.49560546875,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.660000026226044,0.658999979496002,0.667999982833862,0.709999978542328,0.670000016689301,0,0,0,16918246,0.197911888360977,4171538.5,0,0,0,49.5009803771973,0,0,54.25,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1.29999995231628,1.5,1,NA,-0.280436605215073,-0.277886122465134,-0.78705620765686,0.194264858961105,0.248027548193932,0.707000017166138,0.386999994516373,73.7848968505859,109.808311462402,92.406852722168,1.66373002529144,NA,NA,NA,NA,NA,25.7753601074219,52.7369689941406,39.7418518066406,1.25048005580902,5.2521800994873,3.33044004440308,50.3250007629395,10066656256,30577756,51.7000007629395,9,17.5,-1.52309334278107,7,0.216574728488922,-1.49608433246613,7,0.232514604926109,-2.69617819786072,4,0.29182156920433,-1.90569365024567,9,0.182978764176369,-1.67367243766785,6,0.189979657530785,-1.44432485103607,9,0.152308255434036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,6331409920,6235259904,652230,30.2054996490479,5103,NA,0.188842386007309,167,NA,NA,22.8600940704346,0.618526875972748,NA,106.699996948242,6.42199993133545,43.0116653442383,0.281700521707535,24.7560749053955,30982914048,926.56884765625,17.6881732940674,12244505600,21.0202808380127,44.0735702514648,23.4535388946533,27.8199996948242,12329497600,370,10.5167951583862,62.1310005187988,37.4000015258789,0.100000001490116,NA,81.6422958374023,3.24630546569824,-4.73729944229126,22.5759258270264,9.39999961853027,50,47.898853302002,NA,403440992,1.75966382026672,4.63464498519897,76.1999969482422,0.137976795434952,NA,NA,36,129328,33438328,6.70044565200806,0.878860175609589,20.7188110351562,47.2185745239258,0.0875804722309113,7.57930564880371,134.164001464844,8.43500900268555,7,104.502388000488,NA,22.9675998687744,27.2999992370605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2. Foreign-Occupied","10. Personal",0.366882026195526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",8,"Albania","ALB",339,8,"StdCS15May13",NA,0.220425993204117,0.0399248003959656,0.471851587295532,10.2063074111938,10.3532371520996,10.1648445129395,10.3860101699829,4.9450478553772,5.06468391418457,4.38971376419067,4.98186635971069,9.00987720489502,7.6023907661438,11.3163251876831,9.54658126831055,24.4435005187988,26.3279838562012,27.891487121582,30.5919761657715,0.83624005317688,0.681486666202545,1.06733918190002,0.876020431518555,7.40000009536743,8.5,7.55000019073486,7,8.33333301544189,4.41666650772095,6.7857141494751,5.85410499572754,7.5,6.68333339691162,8.25,7.5,6.5,4.66666650772095,6.25,6.33333349227905,8,6,8.75,5,6,"1. Democracy","0. Parliamentary democracy",2,2,2,1,11,7,2,0,2,1,7,2,2,1,1,1,1,2,1,1,NA,NA,0.709583342075348,0.722395837306976,NA,NA,NA,0.300000011920929,NA,0,0,3,1,0,0,19,7,"1. Right",0,1,0,0.450786054134369,19,18,8,1,1,0,56,11,4,40,7.90000009536743,4.84999990463257,77,47.9000015258789,4,"1. Plurality",1,7,0.550000011920929,11.1000003814697,NA,1,"2. Legislature and executive locally elected",2,6,4,8,62,1,3.05999994277954,18,0.526176571846008,3,1,2,1,NA,NA,140,NA,42,7,5,NA,"1. Legislature locally elected","2. Parliamentary",0.742754280567169,2,1,30,5,3.59999990463257,0,0,0,4,64.9419021606445,58.1767311096191,74.2505035400391,40.2681503295898,7.05999994277954,5.63000011444092,7.32999992370605,5.07000017166138,5.90999984741211,4.44000005722046,NA,0,0,98,NA,NA,0.00260000000707805,854.539489746094,0.148494824767113,1.90005695819855,66.7682800292969,0.992327392101288,0.955413997173309,0.0599999986588955,0.772118926048279,NA,0.872898399829865,10.039999961853,7.60357999801636,0,99.3899993896484,0.0755451396107674,97,NA,NA,NA,0.340000003576279,-0.150000005960464,-0.259999990463257,3156,3156,554,378,0.0818827152252197,0.0965999960899353,0.0299999993294477,0.949999988079071,70,8,3,8,13,7,16,16,18,50,"2. Partly Free",8.08333301544189,9,8.08333301544189,11,3,9,"2. Partly Free",7.2435359954834,7.19650316238403,7.32000017166138,7.47200870513916,5.64848184585571,6.14342451095581,6.35244941711426,5.93538093566895,9.63302135467529,9.63302135467529,7.73340892791748,8.54773235321045,0.75,2,2,0.550000011920929,NA,NA,7.09999990463257,65.0917663574219,73.8975677490234,78.3333358764648,69.4907379150391,77.0089263916016,73.9922714233398,80.1313095092773,11.6700000762939,12,3.1800000667572,3.27999997138977,9.89999961853027,2.59999990463257,2.59999990463257,0,NA,"2. Proportional","9. List Proportional Representation (List PR)",0,1,"4. Correction",0,140,NA,25,0,0,0,92,3.22956824302673,1,NA,NA,0,0,1,0,0.740000009536743,NA,0.493358016014099,0.493358016014099,68,34,66,70,92.5999984741211,74.1999969482422,70,52.0999984741211,78.6999969482422,35,85.8000030517578,40,"0. Never colonized by a Western overseas colonial power",0.400000005960464,0.400000005960464,"1. Eastern Europe and post Soviet Union","1. Eastern Europe and post Soviet Union","100. Democracy","100. Democracy",NA,NA,NA,NA,NA,NA,0.388888895511627,"1. Yes","1. Yes","0. No","0. No","1. Yes","1. Yes","1. Yes","1. Yes","1. Yes","0. No","0. No","1. Yes","1. Yes","1. PR","1. List PR","9. Not Applicable","1. Yes","1. Yes","1. Yes","1. Yes","0. No","1. Yes","1. Yes","1. Yes","0. No","1. Yes","0. No","1. Yes","0. No","1. Yes","1. Yes",9.39999961853027,10.1999998092651,15.7299995422363,8.10000038146973,3.80999994277954,8.65999984741211,16.3999996185303,NA,3.5,3.5,4,3.5,4,3.5,4,4,3.74166655540466,4.5,3,3,4,3,3.5,5,2.5,0,0.455555588006973,"3. Socialist/Communist Laws",20.5,79.5,0,15015,4148.93603515625,NA,NA,NA,NA,685,3639,0,9,12,1,0,4,2,9,9,NA,7,3,4,3,59.3329811096191,94.9781188964844,45.208423614502,46.6180152893066,83.027473449707,70.6926498413086,2982.5400390625,6790.04541015625,4.42424249649048,4.96969699859619,3.5151515007019,-0.151672437787056,0.12018608301878,-0.475528806447983,2.90151524543762,3.60606050491333,2.21969699859619,0.0900000035762787,0.0930000022053719,0.0640000030398369,0.00999999977648258,NA,0,0,0,16918246,0.329853147268295,6952564.5,0,-22042786,-6.90407085418701,49.5009803771973,265372.75,119961848,21.75,NA,NA,NA,4,NA,3.79609990119934,9,0,1.85136902332306,36,18.2380142211914,1.85332238674164,109,12.9499998092651,92,3.20000004768372,3.29999995231628,3,NA,0.760087370872498,0.75732946395874,0.363429665565491,1.16545140743256,0.205210879445076,0.270999997854233,0.734000027179718,NA,NA,NA,4.87713003158569,4.59142017364502,5.81860017776489,54.8518905639648,56.1157188415527,55.510181427002,NA,NA,NA,34.1747589111328,25.1040592193604,29.5315608978271,94.9781188964844,10119633920,3192723,51.4000015258789,21.3999996185303,41.7000007629395,-0.491232514381409,11,0.150652006268501,-0.237133681774139,9,0.200631588697433,-0.0525196231901646,6,0.260418653488159,-0.532705128192902,13,0.141292974352837,0.245469018816948,10,0.168414309620857,0.125038728117943,12,0.140346959233284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,349369984,356960000,27400,19.2182502746582,NA,NA,0.941810488700867,82,1684.76879882812,653.179138183594,28.411548614502,11.0829057693481,11.6024141311646,15.8000001907349,1.55799996852875,6.83271360397339,NA,8.81966400146484,23715053568,7427.84521484375,2.93354916572571,12118583296,3.29999995231628,NA,NA,34.5099983215332,12685597696,3970,NA,99.9380035400391,591.4833984375,NA,NA,53.5100784301758,41.2000007629395,2.41088199615479,18.2306728363037,8.14000034332275,95,76.761100769043,NA,1090599936,2.05325794219971,NA,14.1000003814697,9.55774688720703,0.620000004768372,4.25,12.3999996185303,363000,3192723,4.04868125915527,2.83438348770142,10.0087537765503,62.5510749816895,1.79337477684021,6.88306474685669,93.4047546386719,NA,5,81.9216232299805,13.8000001907349,51.2183990478516,16.3999996185303,22.393549417536,3.6341326875,4.19868373125,4.68776738125,5.581931315625,3.10043761875,4.106744346875,6.61025321875,NA,6.692708153125,38.9,NA,2.395731734375,NA,14,2.7988845,5,3.860398421875,3.87814768125,4.830509265625,2.912407721875,-3.501,3.90649396155224,58.923,12.847,3992.474,0.032,24.91,0.660099983215332,11.752,NA,4.504513090625,3.857393725,16.4,3.427,3.62983745375,3.023175584375,2.581759003125,76.9009512195122,3.31175873125,96.3933945027158,4.667593134375,3.269107,3.136654978125,2.632551375,5,4.75938253125,4.043296446875,4.1514628625,4.370175571875,3.71634140625,1.20434219375,4.288056421875,2.4120847625,4.0432242125,38.5,10.5362333441543,4.324629109375,2.27572798125,3.29244111875,0.724093264248705,"1. Democracy",NA,9.84662342071533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
