"","CD","Incumbent","Party","Obama.2012","Romney.2012","Obama.2008","McCain.2008"
"261","NJ-09","Pascrell, Bill","(D)",68.3,30.8,64,35.2
"262","NJ-10","Payne, Donald","(D)",87.9,11.5,84.9,14.6
"263","NJ-11","Frelinghuysen, Rodney","(R)",46.6,52.4,47,52.1
"264","NJ-12","Holt, Rush","(D)",66.5,32.4,65.7,33.3
"265","NM-01","Lujan Grisham, Michelle","(D)",55.3,39.6,59.7,39
"266","NM-02","Pearce, Steve","(R)",44.9,51.7,48.4,50.2
"267","NM-03","Lujan, Ben","(D)",57.5,38.7,61.2,37.5
"268","NV-01","Titus, Dina","(D)",65.6,32.4,64.5,33
"269","NV-02","Amodei, Mark","(R)",44.8,52.9,49.4,48.2
"270","NV-03","Heck, Joe","(R)",49.5,48.7,53.5,44.6
"271","NV-04","Horsford, Steven","(D)",54.4,43.7,56.4,41.4
"272","NY-01","Bishop, Tim","(D)",49.6,49.1,51,48
"273","NY-02","King, Peter","(R)",51.6,47.2,51,48
"274","NY-03","Israel, Steve","(D)",50.8,48.2,54,46
"275","NY-04","McCarthy, Carolyn","(D)",56.3,42.8,55,44
"276","NY-05","Meeks, Gregory","(D)",90.6,9.1,86,14
"277","NY-06","Meng, Grace","(D)",67.8,31,63,36
"278","NY-07","Velazquez, Nydia","(D)",88.4,10.3,84,15
"279","NY-08","Jeffries, Hakeem","(D)",89.2,10.2,86,14
"280","NY-09","Clarke, Yvette","(D)",85.2,13.9,84,15
"281","NY-10","Nadler, Jerrold","(D)",73.6,25.1,76,23
"282","NY-11","Grimm, Michael","(R)",51.6,47.3,48,51
"283","NY-12","Maloney, Carolyn","(D)",76.9,21.5,80,19
"284","NY-13","Rangel, Charlie","(D)",94.6,4.6,93,6
"285","NY-14","Crowley, Joe","(D)",80.7,18.3,76,23
"286","NY-15","Serrano, Jose","(D)",96.7,3,95,5
"287","NY-16","Engel, Eliot","(D)",73.7,25.5,73,26
"288","NY-17","Lowey, Nita","(D)",57.1,41.9,58,41
"289","NY-18","Maloney, Sean","(D)",51.4,47.1,52,47
"290","NY-19","Gibson, Chris","(R)",52.1,45.9,53,45
"291","NY-20","Tonko, Paul","(D)",59.2,38.8,58,40
"292","NY-21","Owens, Bill","(D)",52.2,46.1,52,47
"293","NY-22","Hanna, Richard","(R)",48.8,49.2,49,49
"294","NY-23","Reed, Tom","(R)",48.4,49.6,50,49
"295","NY-24","Maffei, Dan","(D)",57,41.1,56,42
"296","NY-25","Slaughter, Louise","(D)",58.8,39.4,59,40
"297","NY-26","Higgins, Brian","(D)",63.9,34.3,63,35
"298","NY-27","Collins, Chris","(R)",42.9,55.3,44,54
"299","OH-01","Chabot, Steve","(R)",46.3,52.4,47.2,51.8
"300","OH-02","Wenstrup, Brad","(R)",43.7,54.7,44.3,54.2
"301","OH-03","Beatty, Joyce","(D)",69.7,28.9,67.4,31.3
"302","OH-04","Jordan, Jim","(R)",42,56,43.7,54.4
"303","OH-05","Latta, Bob","(R)",44.1,53.9,46,52.2
"304","OH-06","Johnson, Bill","(R)",42.7,55.2,44.7,53.1
"305","OH-07","Gibbs, Bob","(R)",44.2,53.7,46.9,50.9
"306","OH-08","Boehner, John","(R)",36.4,61.9,38.1,60.3
"307","OH-09","Kaptur, Marcy","(D)",67.6,30.9,66.8,31.6
"308","OH-10","Turner, Michael","(R)",48.2,50.1,49.3,49.3
"309","OH-11","Fudge, Marcia","(D)",82.8,16.5,82,17.2
"310","OH-12","Tiberi, Patrick","(R)",43.9,54.4,44.8,53.7
"311","OH-13","Ryan, Tim","(D)",62.9,35.4,62.3,35.8
"312","OH-14","Joyce, David","(R)",47.6,50.9,49.1,49.4
"313","OH-15","Stivers, Steve","(R)",46.3,51.9,46.1,52.2
"314","OH-16","Renacci, Jim","(R)",45.2,53.4,47.2,51.3
"315","OK-01","Bridenstine, Jim","(R)",34.2,65.8,35.8,64.2
"316","OK-02","Mullin, Markwayne","(R)",32.2,67.8,34.3,65.7
"317","OK-03","Lucas, Frank","(R)",26.1,73.9,27.1,72.9
"318","OK-04","Cole, Tom","(R)",32.9,67.1,33.9,66.1
"319","OK-05","Lankford, James","(R)",40.8,59.2,40.8,59.2
"320","OR-01","Bonamici, Suzanne","(D)",57.3,40,59.6,37.7
"321","OR-02","Walden, Greg","(R)",40.5,56.8,43.3,53.8
"322","OR-03","Blumenauer, Earl","(D)",72,24.7,72.9,24.3
"323","OR-04","DeFazio, Peter","(D)",51.7,45,54.2,42.7
"324","OR-05","Schrader, Kurt","(D)",50.5,47.1,53,44.2
"325","PA-01","Brady, Bob","(D)",82.3,16.9,78.7,20.6
"326","PA-02","Fattah, Chaka","(D)",90.4,9,91,8.8
"327","PA-03","Kelly, Mike","(R)",43,55.6,46.3,52.3
"328","PA-04","Perry, Scott","(R)",41.5,57.1,45.1,53.8
"329","PA-05","Thompson, Glenn","(R)",41.5,57.1,47.1,51.5
"330","PA-06","Gerlach, Jim","(R)",48.1,50.6,53,46
"331","PA-07","Meehan, Pat","(R)",48.5,50.4,51.2,47.8
"332","PA-08","Fitzpatrick, Michael","(R)",49.3,49.4,53.2,45.7
"333","PA-09","Schuster, Bill","(R)",35.9,62.8,40.9,57.9
"334","PA-10","Marino, Tom","(R)",38.4,60.1,42.3,56.5
"335","PA-11","Barletta, Lou","(R)",44.5,53.9,47.1,51.7
"336","PA-12","Rothfus, Keith","(R)",40.9,57.8,44.7,54.1
"337","PA-13","Schwartz, Allyson","(D)",66.2,32.9,65.4,33.7
"338","PA-14","Doyle, Michael","(D)",68,30.6,67,32
"339","PA-15","Dent, Charlie","(R)",47.9,50.8,52.1,46.6
"340","PA-16","Pitts, Joe","(R)",46.3,52.4,50.1,49
"341","PA-17","Cartwright, Matt","(D)",55.4,43.3,56.9,41.9
"342","PA-18","Murphy, Tim","(R)",41,57.9,43.8,55.2
"343","RI-01","Cicilline, David","(D)",66.2,32.2,66.6,31.8
"344","RI-02","Langevin, Jim","(D)",59.8,38.3,59.9,38.3
"345","SC-01","VACANT","(R)",40.2,58.3,42.7,56.1
"346","SC-02","Wilson, Joe","(R)",39.4,59.1,39.4,59.5
"347","SC-03","Duncan, Jeff","(R)",33.9,64.5,35.1,63.5
"348","SC-04","Gowdy, Trey","(R)",36.2,62.2,37.7,60.6
"349","SC-05","Mulvaney, Mick","(R)",43.6,55.1,43.8,55
"350","SC-06","Clyburn, Jim","(D)",70.9,28.1,70.1,28.9
"351","SC-07","Rice, Tom","(R)",44.4,54.5,45.3,53.6
"352","SD-AL","Noem, Kristi","(R)",39.9,57.9,44.7,53.2
"353","TN-01","Roe, Phil","(R)",25.7,72.7,28.6,69.9
"354","TN-02","Duncan, John","(R)",30.9,67.3,34.5,64
"355","TN-03","Fleischmann, Chuck","(R)",35.1,63.3,37.3,61.3
"356","TN-04","DesJarlais, Scott","(R)",33.1,65.3,35.8,62.6
"357","TN-05","Cooper, Jim","(D)",55.9,42.5,57.5,41.3
"358","TN-06","Black, Diane","(R)",29.5,69.1,33.5,64.9
