"stdist","st","party","pid","full.name","incumbent","crp.id","npat.id","score","sd","perc","perc.r","perc.d"
"ID2","ID","R",1,"Michael Simpson",1,"N00006263",2917,0.6,0.09,70.4,43,0.299999999999997
"IL1","IL","D",-1,"Bobby Rush",1,"N00004887",26831,-1.31,0.58,14.7,0,69.1
"IL1","IL","R",1,"Donald Peloquin",0,"N00033807",134932,-0.24,0.19,41.9,0.5,13.3
"IL10","IL","D",-1,"Brad Schneider",0,"N00033101",134948,-1.6,0.76,3.2,0,93.4
"IL10","IL","R",1,"Robert Dold",1,"N00031103",116548,0.16,0.11,52.3,9.3,1.3
"IL11","IL","D",-1,"Bill Foster",0,"N00029139",101632,-0.38,0.15,37.8,0,21.3
"IL11","IL","R",1,"Judy Biggert",0,"N00004762",6298,0.31,0.09,57.4,17.9,0.5
"IL12","IL","D",-1,"William Enyart",0,"N00034884",110744,-0.33,0.18,38.8,0,19.1
"IL12","IL","R",1,"Jason Plummer",0,"N00033613",122133,1.38,0.69,89,78.6,0
"IL13","IL","D",-1,"David Gill",0,"N00026221",33722,-0.52,0.08,32.9,0,31.4
"IL13","IL","R",1,"Rodney Davis",0,"N00034784",9622,0.39,0.14,60.3,23.6,0.5
"IL14","IL","D",-1,"Dennis Anderson",0,"N00033885",134961,-1.89,0.92,1.3,0,97.3
"IL14","IL","R",1,"Randall Hultgren",1,"N00031104",18199,0.84,0.36,80.5,62.4,0.299999999999997
"IL15","IL","R",1,"John Shimkus",0,"N00004961",246,0.42,0.08,62.6,28,0.5
"IL16","IL","D",-1,"Wanda Rohl",0,"N00034785",142353,-1.64,0.96,2.4,0,94.9
"IL16","IL","R",1,"Adam Kinzinger",0,"N00030667",116559,0.59,0.26,70.1,42.3,0.299999999999997
"IL17","IL","D",-1,"Cheri Bustos",0,"N00033390",134964,-0.53,0.25,32.4,0,32.4
