"PM","time"
86.6,2013-05-04 00:00:00
113.8,2013-05-04 12:00:00
186.3,2013-05-05 00:00:00
256.5,2013-05-05 12:00:00
214.3,2013-05-06 00:00:00
166.7,2013-05-06 12:00:00
179,2013-05-07 00:00:00
157.9,2013-05-07 12:00:00
124.3,2013-05-08 00:00:00
67.7,2013-05-08 12:00:00
49.7,2013-05-09 00:00:00
64.2,2013-05-09 12:00:00
48.8,2013-05-10 00:00:00
50.2,2013-05-10 12:00:00
53.2,2013-05-11 00:00:00
41.2,2013-05-11 12:00:00
48.9,2013-05-12 00:00:00
64,2013-05-12 12:00:00
